順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","→","0","1","電気・ガス","+4.28","+1.49%","3"
"2","→","0","2","鉱業","+3.81","+2.05%","2"
"3","→","0","3","石油・石炭","+3.67","+2.11%","2"
"4","↑23","1","27","鉄鋼","+3.61","+4.02%","1"
"5","↑10","1","15","卸売業","+2.80","+2.53%","1"
"6","↑11","2","17","建設業","+2.17","+2.02%","2"
"7","↓1","0","6","輸送用機器","+2.07","+1.01%","1"
"8","↑17","1","25","保険業","+1.35","+1.44%","1"
"9","↑20","1","29","不動産業","+1.31","+2.13%","1"
"10","↑2","1","12","情報・通信業","+1.06","+0.43%","1"
"11","↑17","1","28","医薬品","+1.01","+1.73%","1"
"12","↑6","1","18","繊維製品","+0.94","+0.80%","1"
"13","↑18","1","31","海運業","+0.82","+1.95%","1"
"14","↓3","0","11","化学","+0.74","+0.02%","2"
"15","↑9","2","24","その他金融業","+0.70","+0.70%","2"
"16","↓8","0","8","ゴム製品","+0.67","-0.21%","0"
"17","↑5","3","22","精密機器","+0.66","+0.64%","3"
"18","↑5","2","23","水産・農林業","+0.61","+0.61%","2"
"19","↑2","4","21","食料品","+0.59","+0.55%","4"
"20","→","0","20","倉庫・運輸","+0.56","+0.50%","1"
"21","↓12","0","9","銀行業","+0.53","-0.34%","0"
"22","↓8","0","14","陸運業","+0.49","+0.15%","2"
"23","↑9","1","32","証券・商品","+0.25","+1.44%","1"
"24","↓19","0","5","ガラス・土石","+0.23","-1.06%","0"
"25","↑8","1","33","空運業","+0.16","+1.42%","1"
"26","↓19","0","7","パルプ・紙","+0.14","-0.84%","0"
"27","↓11","0","16","その他製品","-0.08","-0.26%","0"
"28","↓2","0","26","電気機器","-0.12","+0.22%","1"
"29","↓16","0","13","金属製品","-0.19","-0.63%","0"
"30","→","0","30","機械","-0.40","+0.52%","1"
"31","↓12","0","19","小売業","-0.50","-0.60%","0"
"32","↓22","0","10","非鉄金属","-1.13","-1.98%","0"
"33","↓29","0","4","サービス業","-1.91","-3.35%","0"
