順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑26","1","27","サービス業","+2.89","+3.40%","1"
"2","↑28","2","30","海運業","+2.13","+2.79%","2"
"3","↑30","1","33","その他製品","+2.08","+3.38%","1"
"4","↑1","1","5","証券・商品","+1.71","+1.08%","1"
"5","↓1","0","4","銀行業","+1.54","+0.86%","1"
"6","↑13","3","19","輸送用機器","+1.25","+1.42%","3"
"7","→","0","7","電気機器","+0.90","+0.28%","2"
"8","↑10","1","18","情報・通信業","+0.89","+1.05%","1"
"9","↑13","1","22","保険業","+0.88","+1.12%","1"
"10","↑14","1","24","不動産業","+0.86","+1.20%","1"
"11","↑6","3","17","卸売業","+0.82","+0.88%","2"
"12","↓6","0","6","鉱業","+0.58","-0.04%","0"
"13","↑16","1","29","鉄鋼","+0.54","+1.14%","1"
"14","→","0","14","倉庫・運輸","+0.39","+0.28%","1"
"15","↓12","0","3","繊維製品","+0.38","-0.39%","0"
"16","↑7","1","23","空運業","+0.37","+0.62%","1"
"17","↑14","1","31","医薬品","+0.26","+0.98%","1"
"18","↑10","1","28","小売業","+0.02","+0.61%","1"
"19","↓7","0","12","パルプ・紙","-0.02","-0.22%","0"
"20","↑6","1","26","電気・ガス","-0.03","+0.47%","1"
"21","↓12","0","9","機械","-0.04","-0.47%","0"
"22","↑3","2","25","食料品","-0.05","+0.32%","2"
"23","↓15","0","8","化学","-0.12","-0.70%","0"
"24","↑8","1","32","精密機器","-0.20","+0.77%","1"
"25","↓23","0","2","石油・石炭","-0.24","-1.37%","0"
"26","↓15","0","11","陸運業","-0.27","-0.49%","0"
"27","↓12","0","15","金属製品","-0.48","-0.57%","0"
"28","↓18","0","10","建設業","-0.50","-0.85%","0"
"29","↓8","0","21","水産・農林業","-0.82","-0.59%","0"
"30","↓10","0","20","ゴム製品","-0.82","-0.64%","0"
"31","↓15","0","16","その他金融業","-0.83","-0.78%","0"
"32","↓19","0","13","ガラス・土石","-1.20","-1.38%","0"
"33","↓32","0","1","非鉄金属","-1.76","-3.30%","0"
