順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑7","1","8","精密機器","+1.13","-0.46%","0"
"2","↑21","2","23","空運業","+0.78","+1.97%","2"
"3","↑4","4","7","金属製品","+0.39","-1.35%","0"
"4","↑8","2","12","情報・通信業","+0.34","-0.15%","0"
"5","↑22","1","27","小売業","+0.02","+2.69%","1"
"6","↓1","0","5","機械","-0.10","-3.05%","0"
"7","↑6","1","13","化学","-0.36","-0.82%","0"
"8","↑7","2","15","電気・ガス","-0.38","-0.50%","0"
"9","↑7","1","16","海運業","-0.52","-0.30%","0"
"10","↑1","1","11","卸売業","-0.56","-1.07%","0"
"11","↑15","1","26","パルプ・紙","-0.58","+1.48%","1"
"12","↑16","2","28","水産・農林業","-0.61","+2.11%","1"
"13","↓12","0","1","非鉄金属","-0.67","-9.96%","0"
"14","↑8","1","22","鉄鋼","-0.81","+0.14%","2"
"15","↓9","0","6","銀行業","-0.81","-2.65%","0"
"16","↑17","1","33","医薬品","-0.82","+3.38%","1"
"17","↑13","1","30","その他製品","-1.03","+1.87%","1"
"18","↓14","0","4","証券・商品","-1.04","-4.25%","0"
"19","↓2","0","17","繊維製品","-1.08","-0.79%","0"
"20","↓10","0","10","その他金融業","-1.32","-2.10%","0"
"21","↑4","1","25","サービス業","-1.32","+0.31%","1"
"22","↓2","0","20","食料品","-1.34","-0.63%","0"
"23","↓21","0","2","電気機器","-1.46","-7.61%","0"
"24","↓21","0","3","ガラス・土石","-1.56","-5.57%","0"
"25","↓7","0","18","建設業","-1.88","-1.33%","0"
"26","↓2","0","24","ゴム製品","-1.92","-0.51%","0"
"27","↓8","0","19","保険業","-2.49","-1.83%","0"
"28","↓7","0","21","倉庫・運輸","-2.60","-1.80%","0"
"29","↓15","0","14","鉱業","-2.69","-3.08%","0"
"30","↓21","0","9","石油・石炭","-2.74","-4.02%","0"
"31","→","0","31","陸運業","-2.80","+0.47%","1"
"32","↓3","0","29","輸送用機器","-3.33","-0.49%","0"
"33","↓1","0","32","不動産業","-3.58","-0.28%","0"
