順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑27","1","28","非鉄金属","+2.83","+3.55%","1"
"2","↑29","1","31","保険業","+1.85","+2.69%","1"
"3","↑17","1","20","証券・商品","+1.63","+1.58%","1"
"4","↑23","1","27","銀行業","+1.30","+1.82%","1"
"5","↑27","1","32","情報・通信業","+1.14","+2.31%","1"
"6","↑8","5","14","金属製品","+0.99","+0.69%","2"
"7","↑18","1","25","食料品","+0.94","+1.32%","1"
"8","↑1","3","9","その他金融業","+0.91","+0.11%","1"
"9","↑8","1","17","陸運業","+0.81","+0.66%","1"
"10","↑12","1","22","空運業","+0.54","+0.58%","1"
"11","↓10","0","1","サービス業","+0.52","-1.59%","0"
"12","↑4","2","16","精密機器","+0.49","+0.32%","2"
"13","↑6","5","19","電気機器","+0.48","+0.43%","2"
"14","↑15","1","29","ガラス・土石","+0.36","+1.09%","2"
"15","↑8","2","23","小売業","+0.36","+0.41%","2"
"16","↓10","0","6","鉄鋼","+0.31","-0.78%","0"
"17","↓14","0","3","その他製品","+0.20","-1.05%","0"
"18","↑12","1","30","水産・農林業","+0.18","+1.00%","1"
"19","↓14","0","5","機械","+0.11","-1.02%","0"
"20","↓18","0","2","建設業","+0.04","-1.30%","0"
"21","↑5","1","26","電気・ガス","+0.02","+0.46%","1"
"22","↓1","0","21","化学","+0.01","+0.04%","2"
"23","↓12","0","11","不動産業","-0.01","-0.65%","0"
"24","↓12","0","12","石油・石炭","-0.09","-0.52%","0"
"25","↓21","0","4","卸売業","-0.09","-1.32%","0"
"26","↓13","0","13","医薬品","-0.21","-0.53%","0"
"27","↓12","0","15","パルプ・紙","-0.40","-0.65%","0"
"28","↑5","1","33","鉱業","-0.41","+0.77%","1"
"29","↓11","0","18","繊維製品","-0.48","-0.54%","0"
"30","↓20","0","10","倉庫・運輸","-0.48","-1.24%","0"
"31","↓23","0","8","ゴム製品","-0.55","-1.36%","0"
"32","↓25","0","7","海運業","-0.91","-1.84%","0"
"33","↓9","0","24","輸送用機器","-1.29","-1.19%","0"
