順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑1","2","2","銀行業","+2.87","0.00%","0"
"2","↑11","1","13","ガラス・土石","+1.86","+1.13%","1"
"3","↑3","4","6","電気機器","+1.84","+0.48%","1"
"4","↑1","4","5","金属製品","+1.73","+0.35%","4"
"5","↑12","1","17","機械","+1.66","+1.17%","1"
"6","↑26","1","32","海運業","+1.42","+2.33%","1"
"7","↑16","1","23","精密機器","+1.30","+1.35%","1"
"8","↑1","3","9","証券・商品","+0.99","-0.10%","0"
"9","↓2","0","7","電気・ガス","+0.92","-0.37%","0"
"10","↑6","2","16","食料品","+0.71","+0.16%","2"
"11","↑3","3","14","建設業","+0.69","0.00%","0"
"12","↓2","0","10","その他金融業","+0.64","-0.30%","0"
"13","↑16","1","29","繊維製品","+0.49","+1.14%","1"
"14","↓10","0","4","サービス業","+0.45","-1.10%","0"
"15","↓3","0","12","水産・農林業","+0.39","-0.36%","0"
"16","↓15","0","1","非鉄金属","+0.37","-2.75%","0"
"17","↑1","2","18","情報・通信業","+0.37","-0.09%","0"
"18","↑7","2","25","不動産業","+0.35","+0.54%","2"
"19","↑2","2","21","倉庫・運輸","+0.20","+0.13%","2"
"20","↑8","1","28","パルプ・紙","+0.19","+0.79%","1"
"21","↑10","1","31","空運業","+0.07","+0.81%","1"
"22","↓2","0","20","陸運業","-0.07","-0.45%","0"
"23","↑4","1","27","医薬品","-0.12","+0.20%","1"
"24","↓16","0","8","化学","-0.19","-1.37%","0"
"25","↓14","0","11","石油・石炭","-0.19","-1.12%","0"
"26","↓2","0","24","卸売業","-0.24","-0.05%","0"
"27","↑3","1","30","小売業","-0.24","+0.41%","1"
"28","↓13","0","15","保険業","-0.48","-1.04%","0"
"29","↓26","0","3","鉱業","-0.53","-3.30%","0"
"30","↓8","0","22","輸送用機器","-0.58","-0.58%","0"
"31","↓12","0","19","その他製品","-0.64","-1.03%","0"
"32","↓6","0","26","鉄鋼","-1.14","-0.93%","0"
"33","→","0","33","ゴム製品","-1.79","-0.54%","0"
