順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑2","2","3","証券・商品","+2.05","+0.42%","2"
"2","↑9","1","11","サービス業","+1.85","+1.33%","1"
"3","↓1","0","2","保険業","+1.68","-0.17%","0"
"4","→","0","4","銀行業","+1.41","+0.11%","2"
"5","↑21","1","26","医薬品","+1.04","+1.25%","1"
"6","↑2","4","8","その他金融業","+0.83","-0.08%","0"
"7","↓6","0","1","非鉄金属","+0.81","-2.02%","0"
"8","↑2","2","10","空運業","+0.78","+0.24%","2"
"9","↑12","2","21","電気・ガス","+0.76","+0.74%","2"
"10","↑17","1","27","パルプ・紙","+0.74","+1.14%","1"
"11","↑12","1","23","不動産業","+0.74","+0.75%","1"
"12","↑4","1","16","鉄鋼","+0.61","+0.30%","1"
"13","↓8","0","5","情報・通信業","+0.44","-0.70%","0"
"14","↓1","0","13","電気機器","+0.42","-0.06%","0"
"15","↑15","1","30","倉庫・運輸","+0.36","+0.84%","1"
"16","↑4","1","20","建設業","+0.30","+0.26%","1"
"17","↑14","1","31","ゴム製品","+0.08","+0.63%","1"
"18","→","0","18","水産・農林業","+0.02","-0.16%","0"
"19","↑3","1","22","化学","-0.01","-0.02%","0"
"20","↓6","0","14","ガラス・土石","-0.04","-0.40%","0"
"21","↓4","0","17","その他製品","-0.06","-0.26%","0"
"22","↓7","0","15","小売業","-0.13","-0.49%","0"
"23","↓4","0","19","機械","-0.19","-0.30%","0"
"24","↑1","1","25","卸売業","-0.28","-0.19%","0"
"25","↑8","1","33","輸送用機器","-0.32","+0.97%","1"
"26","↓14","0","12","精密機器","-0.38","-0.87%","0"
"27","↓20","0","7","食料品","-0.40","-1.34%","0"
"28","↑1","1","29","繊維製品","-0.51","-0.03%","0"
"29","↓20","0","9","陸運業","-0.63","-1.44%","0"
"30","↓2","0","28","鉱業","-0.84","-0.43%","0"
"31","↓25","0","6","金属製品","-0.88","-1.87%","0"
"32","↓8","0","24","石油・石炭","-1.84","-1.75%","0"
"33","↓1","0","32","海運業","-2.37","-1.46%","0"
