順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑28","1","29","電気機器","+2.47","+5.17%","1"
"2","↑30","1","32","非鉄金属","+1.72","+5.70%","1"
"3","↑30","1","33","精密機器","+1.43","+5.50%","1"
"4","↓2","0","2","海運業","+1.10","-0.69%","0"
"5","↓4","0","1","鉱業","+1.01","-1.82%","0"
"6","↑22","1","28","ガラス・土石","+0.96","+3.65%","1"
"7","↑8","1","15","サービス業","+0.91","+1.26%","1"
"8","↑6","1","14","石油・石炭","+0.79","+1.07%","1"
"9","→","0","9","保険業","+0.75","+0.73%","1"
"10","↑21","1","31","機械","+0.36","+3.54%","1"
"11","↑9","1","20","その他製品","+0.24","+1.26%","1"
"12","↑4","1","16","その他金融業","+0.16","+0.66%","1"
"13","↑12","1","25","化学","+0.05","+1.69%","1"
"14","↓3","0","11","倉庫・運輸","-0.05","+0.02%","1"
"15","↓7","0","8","情報・通信業","-0.12","-0.24%","0"
"16","↑10","1","26","金属製品","-0.18","+1.48%","1"
"17","↓10","0","7","電気・ガス","-0.35","-0.49%","0"
"18","↓12","0","6","銀行業","-0.42","-0.66%","0"
"19","↑2","1","21","卸売業","-0.44","+0.69%","1"
"20","↑3","1","23","医薬品","-0.49","+0.73%","1"
"21","↑9","1","30","建設業","-0.54","+2.21%","1"
"22","↓3","0","19","鉄鋼","-0.55","+0.31%","1"
"23","↓18","0","5","水産・農林業","-0.58","-0.82%","0"
"24","↓12","0","12","陸運業","-0.67","-0.54%","0"
"25","↓15","0","10","食料品","-0.77","-0.76%","0"
"26","↓23","0","3","パルプ・紙","-1.05","-1.52%","0"
"27","↓14","0","13","小売業","-1.19","-1.02%","0"
"28","↓24","0","4","証券・商品","-1.22","-1.66%","0"
"29","↓7","0","22","不動産業","-1.34","-0.20%","0"
"30","↓13","0","17","繊維製品","-1.36","-0.80%","0"
"31","↓13","0","18","ゴム製品","-1.59","-0.93%","0"
"32","↓5","0","27","輸送用機器","-1.88","+0.29%","1"
"33","↓9","0","24","空運業","-2.23","-0.85%","0"
