順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑27","1","28","海運業","+4.92","+4.49%","2"
"2","↑24","1","26","鉱業","+2.18","+1.65%","2"
"3","↑9","2","12","石油・石炭","+2.09","+0.36%","2"
"4","↑27","1","31","保険業","+1.89","+2.18%","2"
"5","↑12","2","17","卸売業","+1.72","+0.62%","2"
"6","↓4","0","2","電気・ガス","+1.62","-1.54%","0"
"7","↑2","2","9","証券・商品","+1.32","-0.70%","0"
"8","↑11","1","19","陸運業","+1.19","+0.20%","2"
"9","↓8","0","1","輸送用機器","+1.16","-2.79%","0"
"10","↑17","1","27","その他金融業","+1.14","+0.67%","2"
"11","↑21","1","32","銀行業","+1.03","+1.56%","2"
"12","↑8","1","20","パルプ・紙","+0.91","-0.07%","0"
"13","↑10","1","23","食料品","+0.79","+0.06%","3"
"14","↑8","1","22","水産・農林業","+0.44","-0.49%","0"
"15","↓10","0","5","ゴム製品","+0.42","-1.87%","0"
"16","↑14","1","30","倉庫・運輸","+0.37","+0.47%","2"
"17","↓13","0","4","不動産業","+0.32","-2.01%","0"
"18","↑11","1","29","空運業","+0.13","-0.28%","0"
"19","↓5","0","14","繊維製品","-0.11","-1.56%","0"
"20","↑5","3","25","金属製品","-0.15","-0.73%","0"
"21","↑3","3","24","電気機器","-0.24","-0.92%","0"
"22","↓9","0","13","化学","-0.25","-1.90%","0"
"23","↓13","0","10","情報・通信業","-0.31","-2.32%","0"
"24","↓17","0","7","建設業","-0.33","-2.58%","0"
"25","↑8","1","33","鉄鋼","-0.54","+0.10%","2"
"26","↓18","0","8","サービス業","-0.66","-2.76%","0"
"27","↓21","0","6","非鉄金属","-0.70","-2.99%","0"
"28","↓7","0","21","機械","-0.84","-1.82%","0"
"29","↓14","0","15","ガラス・土石","-0.89","-2.25%","0"
"30","↓14","0","16","小売業","-0.89","-2.23%","0"
"31","↓13","0","18","精密機器","-1.04","-2.11%","0"
"32","↓29","0","3","医薬品","-1.47","-4.34%","0"
"33","↓22","0","11","その他製品","-1.78","-3.71%","0"
