順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑18","2","19","情報・通信業","+3.55","+3.43%","2"
"2","↑5","4","7","証券・商品","+2.12","+0.69%","2"
"3","↑29","2","32","非鉄金属","+1.61","+3.66%","2"
"4","↑5","2","9","空運業","+1.12","+0.03%","2"
"5","↑18","2","23","電気機器","+0.99","+1.19%","2"
"6","↑20","1","26","小売業","+0.93","+1.29%","2"
"7","↑20","2","27","ガラス・土石","+0.55","+0.92%","2"
"8","↑7","3","15","金属製品","+0.47","+0.10%","2"
"9","↓1","0","8","銀行業","+0.27","-1.15%","0"
"10","↓5","0","5","保険業","+0.13","-1.59%","0"
"11","↑7","3","18","その他製品","+0.11","-0.19%","0"
"12","↑5","1","17","倉庫・運輸","-0.14","-0.48%","0"
"13","↓3","0","10","機械","-0.20","-1.27%","0"
"14","↑16","1","30","不動産業","-0.27","+0.42%","2"
"15","↑13","1","28","パルプ・紙","-0.36","+0.03%","2"
"16","↑5","1","21","陸運業","-0.39","-0.39%","0"
"17","↓6","0","11","その他金融業","-0.48","-1.19%","0"
"18","↓5","0","13","サービス業","-0.49","-1.13%","0"
"19","↓5","0","14","建設業","-0.62","-1.04%","0"
"20","↑11","1","31","食料品","-1.02","-0.32%","0"
"21","↑4","1","25","精密機器","-1.04","-0.76%","0"
"22","↓2","0","20","輸送用機器","-1.07","-1.08%","0"
"23","↓1","0","22","化学","-1.14","-1.09%","0"
"24","↓8","0","16","繊維製品","-1.48","-1.83%","0"
"25","↓19","0","6","鉄鋼","-1.66","-3.25%","0"
"26","↓22","0","4","石油・石炭","-1.72","-3.78%","0"
"27","↑2","1","29","ゴム製品","-1.91","-1.35%","0"
"28","↓27","0","1","卸売業","-2.01","-4.47%","0"
"29","↓17","0","12","医薬品","-2.15","-2.83%","0"
"30","↓6","0","24","水産・農林業","-2.35","-2.09%","0"
"31","↓29","0","2","電気・ガス","-2.35","-4.79%","0"
"32","↓29","0","3","海運業","-2.38","-4.66%","0"
"33","→","0","33","鉱業","-2.83","+0.43%","1"
