順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑14","1","15","石油・石炭","+4.91","+3.80%","3"
"2","↑31","1","33","鉱業","+4.57","+6.23%","1"
"3","↑14","1","17","保険業","+4.40","+3.36%","1"
"4","↑1","3","5","卸売業","+3.34","+1.24%","3"
"5","↑4","2","9","その他金融業","+3.27","+1.36%","5"
"6","↓4","0","2","証券・商品","+2.95","-0.71%","0"
"7","↓1","0","6","銀行業","+2.85","+0.76%","4"
"8","↑13","1","21","不動産業","+2.62","+1.84%","1"
"9","↑23","1","32","情報・通信業","+2.55","+3.97%","1"
"10","↓9","0","1","非鉄金属","+2.51","-2.04%","0"
"11","↑3","1","14","パルプ・紙","+2.38","+1.12%","1"
"12","↑4","3","16","倉庫・運輸","+2.06","+1.01%","3"
"13","↓6","0","7","機械","+2.05","+0.11%","2"
"14","↑6","1","20","鉄鋼","+1.97","+1.09%","1"
"15","↓3","0","12","電気・ガス","+1.97","+0.62%","1"
"16","↑3","1","19","ゴム製品","+1.92","+0.98%","1"
"17","↑1","2","18","輸送用機器","+1.83","+0.81%","5"
"18","↓10","0","8","建設業","+1.81","-0.11%","0"
"19","↓15","0","4","電気機器","+1.76","-0.37%","0"
"20","↓7","0","13","繊維製品","+1.38","+0.10%","4"
"21","↑1","1","22","陸運業","+1.37","+1.15%","1"
"22","↑2","1","24","食料品","+1.10","+1.65%","1"
"23","↑4","1","27","医薬品","+1.08","+1.74%","1"
"24","↑7","1","31","小売業","+1.06","+2.23%","1"
"25","↓15","0","10","化学","+0.88","-0.80%","0"
"26","↓23","0","3","ガラス・土石","+0.87","-1.31%","0"
"27","↓16","0","11","海運業","+0.66","-1.00%","0"
"28","→","0","28","水産・農林業","+0.47","+1.23%","1"
"29","↓4","0","25","サービス業","+0.46","+1.01%","1"
"30","↓4","0","26","精密機器","+0.37","+0.98%","1"
"31","↓1","0","30","空運業","+0.05","+1.01%","1"
"32","↓3","0","29","金属製品","-0.35","+0.47%","1"
"33","↓10","0","23","その他製品","-1.15","-0.95%","0"
