順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑13","1","14","小売業","+2.17","+0.05%","4"
"2","↓1","0","1","空運業","+1.89","-2.90%","0"
"3","↑6","1","9","陸運業","+1.10","-1.49%","0"
"4","↑3","2","7","輸送用機器","+1.09","-1.66%","0"
"5","↑17","1","22","食料品","+0.82","-0.46%","0"
"6","↓1","0","5","鉄鋼","+0.61","-2.41%","0"
"7","↑12","1","19","水産・農林業","+0.57","-1.03%","0"
"8","↑21","1","29","医薬品","+0.55","+0.14%","1"
"9","↓5","0","4","サービス業","+0.49","-2.89%","0"
"10","↓7","0","3","ゴム製品","+0.38","-3.20%","0"
"11","↓9","0","2","その他製品","+0.28","-4.21%","0"
"12","↑8","1","20","倉庫・運輸","-0.12","-1.48%","0"
"13","↓5","0","8","不動産業","-0.32","-3.00%","0"
"14","↓4","0","10","パルプ・紙","-0.35","-2.78%","0"
"15","↑6","2","21","情報・通信業","-0.36","-1.66%","0"
"16","↓1","0","15","保険業","-0.83","-2.90%","0"
"17","→","0","17","海運業","-0.94","-2.67%","0"
"18","↑9","1","27","卸売業","-1.24","-1.87%","0"
"19","↓1","0","18","電気・ガス","-1.49","-3.20%","0"
"20","↓8","0","12","建設業","-1.58","-3.72%","0"
"21","↑9","1","30","石油・石炭","-1.63","-1.55%","0"
"22","↓11","0","11","繊維製品","-2.06","-4.36%","0"
"23","↑3","1","26","証券・商品","-2.10","-2.90%","0"
"24","↑8","1","32","鉱業","-2.24","+0.30%","1"
"25","↓12","0","13","その他金融業","-2.72","-4.85%","0"
"26","↓10","0","16","精密機器","-3.02","-5.06%","0"
"27","↑4","1","31","化学","-3.20","-2.86%","0"
"28","↓3","0","25","銀行業","-3.84","-4.76%","0"
"29","↓5","0","24","機械","-4.85","-6.05%","0"
"30","↓2","0","28","ガラス・土石","-5.19","-5.79%","0"
"31","↓25","0","6","金属製品","-5.30","-8.15%","0"
"32","↓9","0","23","電気機器","-6.16","-7.42%","0"
"33","→","0","33","非鉄金属","-6.89","-4.08%","0"
