順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑4","3","5","医薬品","+0.78","-0.69%","0"
"2","↓1","0","1","海運業","+0.23","-3.41%","0"
"3","↑19","1","22","不動産業","-0.11","+0.81%","1"
"4","↑2","2","6","水産・農林業","-0.25","-1.19%","0"
"5","↑23","1","28","空運業","-0.44","+0.90%","1"
"6","↑12","2","18","小売業","-0.54","-0.02%","0"
"7","↑19","1","26","食料品","-0.58","+0.71%","1"
"8","↑2","2","10","陸運業","-0.59","-1.05%","0"
"9","→","0","9","倉庫・運輸","-0.65","-1.12%","0"
"10","↑14","1","24","サービス業","-1.17","-0.05%","0"
"11","↓9","0","2","鉱業","-1.31","-4.51%","0"
"12","↓5","0","7","電気・ガス","-1.43","-2.23%","0"
"13","↓2","0","11","パルプ・紙","-1.55","-1.97%","0"
"14","↑11","2","25","その他製品","-1.61","-0.38%","0"
"15","↑4","2","19","ゴム製品","-2.27","-1.66%","0"
"16","↑4","1","20","その他金融業","-2.36","-1.59%","0"
"17","↓1","0","16","保険業","-2.43","-2.08%","0"
"18","↓3","0","15","証券・商品","-2.45","-2.27%","0"
"19","↓15","0","4","鉄鋼","-2.47","-4.59%","0"
"20","↓12","0","8","卸売業","-2.59","-3.33%","0"
"21","↑2","1","23","建設業","-2.82","-1.75%","0"
"22","↓19","0","3","石油・石炭","-2.87","-5.00%","0"
"23","↓11","0","12","輸送用機器","-2.87","-3.24%","0"
"24","↑3","1","27","化学","-2.88","-1.56%","0"
"25","↓4","0","21","精密機器","-2.90","-1.98%","0"
"26","↓12","0","14","繊維製品","-3.23","-3.39%","0"
"27","↓10","0","17","情報・通信業","-3.25","-2.89%","0"
"28","↑4","1","32","金属製品","-3.67","-1.42%","0"
"29","↑4","1","33","電気機器","-3.97","-0.25%","0"
"30","↓17","0","13","銀行業","-4.64","-4.88%","0"
"31","↓2","0","29","機械","-5.10","-3.52%","0"
"32","↓1","0","31","ガラス・土石","-5.40","-3.23%","0"
"33","↓3","0","30","非鉄金属","-8.33","-6.22%","0"
