順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑22","1","23","ゴム製品","+1.74","+3.00%","1"
"2","↑8","3","10","精密機器","+1.73","+1.98%","1"
"3","↓1","0","2","電気機器","+1.67","-0.31%","0"
"4","→","0","4","ガラス・土石","+1.50","+0.90%","2"
"5","→","0","5","機械","+1.34","+0.97%","1"
"6","↑2","2","8","化学","+1.15","+1.17%","1"
"7","↓4","0","3","金属製品","+0.99","+0.35%","2"
"8","↑4","1","12","空運業","+0.84","+1.29%","1"
"9","↓8","0","1","非鉄金属","+0.71","-1.58%","0"
"10","↑19","1","29","不動産業","+0.37","+1.84%","1"
"11","↑14","1","25","繊維製品","+0.36","+1.68%","1"
"12","↑16","1","28","倉庫・運輸","+0.13","+1.54%","1"
"13","↑11","1","24","食料品","-0.10","+1.18%","1"
"14","↑5","1","19","建設業","-0.33","+0.65%","1"
"15","↑1","3","16","小売業","-0.35","+0.45%","1"
"16","↑2","1","18","パルプ・紙","-0.38","+0.57%","1"
"17","↑15","1","32","石油・石炭","-0.38","+1.50%","1"
"18","↓7","0","11","情報・通信業","-0.38","0.00%","0"
"19","↑12","1","31","水産・農林業","-0.48","+1.29%","1"
"20","↑1","1","21","その他製品","-0.49","+0.57%","1"
"21","↑6","1","27","陸運業","-0.70","+0.68%","1"
"22","↓2","0","20","その他金融業","-0.79","+0.26%","1"
"23","↓8","0","15","輸送用機器","-0.88","-0.22%","0"
"24","↓18","0","6","医薬品","-1.18","-1.25%","0"
"25","↓8","0","17","鉄鋼","-1.38","-0.52%","0"
"26","↓13","0","13","銀行業","-1.66","-1.12%","0"
"27","↓20","0","7","証券・商品","-1.73","-1.75%","0"
"28","↓2","0","26","卸売業","-2.00","-0.65%","0"
"29","↓20","0","9","鉱業","-2.21","-2.06%","0"
"30","→","0","30","海運業","-2.45","-0.73%","0"
"31","↓9","0","22","保険業","-2.89","-1.75%","0"
"32","↑1","1","33","電気・ガス","-3.33","-1.09%","0"
"33","↓19","0","14","サービス業","-4.61","-4.00%","0"
