順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑4","1","5","情報・通信業","+2.20","+0.26%","1"
"2","↑5","2","7","石油・石炭","+1.91","+0.18%","2"
"3","↑10","2","13","鉱業","+1.08","+0.70%","3"
"4","↑20","1","24","陸運業","+0.61","+1.34%","1"
"5","↑22","1","27","小売業","+0.37","+1.34%","1"
"6","↑22","1","28","不動産業","+0.23","+1.24%","1"
"7","↑12","1","19","空運業","+0.21","+0.61%","1"
"8","↑4","2","12","建設業","+0.08","-0.55%","0"
"9","↑24","1","33","水産・農林業","+0.06","+1.42%","2"
"10","↑22","1","32","医薬品","-0.20","+1.07%","2"
"11","↓1","0","10","電気・ガス","-0.24","-1.37%","0"
"12","↑13","1","25","食料品","-0.48","+0.32%","2"
"13","↑4","1","17","倉庫・運輸","-0.54","-0.78%","0"
"14","↑9","1","23","証券・商品","-0.77","-0.26%","0"
"15","↓7","0","8","卸売業","-0.85","-2.51%","0"
"16","↑6","1","22","パルプ・紙","-0.99","-0.48%","0"
"17","↓16","0","1","海運業","-1.00","-4.06%","0"
"18","↑11","1","29","その他製品","-1.17","-0.15%","0"
"19","↑7","1","26","保険業","-1.29","-0.34%","0"
"20","↑11","1","31","銀行業","-1.48","-0.31%","0"
"21","↑9","1","30","サービス業","-1.53","-0.48%","0"
"22","↓2","0","20","その他金融業","-1.83","-1.40%","0"
"23","↓7","0","16","化学","-2.61","-2.88%","0"
"24","↓15","0","9","鉄鋼","-2.75","-4.01%","0"
"25","↓11","0","14","繊維製品","-2.77","-3.13%","0"
"26","↓15","0","11","金属製品","-3.17","-4.10%","0"
"27","↓23","0","4","非鉄金属","-3.29","-5.30%","0"
"28","↓7","0","21","ゴム製品","-3.53","-3.03%","0"
"29","↓11","0","18","精密機器","-3.64","-3.40%","0"
"30","↓24","0","6","機械","-3.65","-5.50%","0"
"31","↓28","0","3","電気機器","-3.90","-6.04%","0"
"32","↓17","0","15","輸送用機器","-4.14","-4.42%","0"
"33","↓31","0","2","ガラス・土石","-4.44","-6.93%","0"
