順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑1","1","2","海運業","+3.64","+1.82%","1"
"2","↑7","1","9","鉱業","+3.20","+3.26%","1"
"3","↑2","3","5","石油・石炭","+2.13","+1.60%","1"
"4","↑9","3","13","鉄鋼","+2.12","+2.34%","1"
"5","↑27","2","32","医薬品","+1.47","+3.06%","1"
"6","↑13","1","19","水産・農林業","+0.94","+1.64%","1"
"7","↑1","2","8","電気・ガス","+0.80","+0.63%","2"
"8","↑23","1","31","卸売業","+0.74","+2.11%","1"
"9","↑8","2","17","倉庫・運輸","+0.47","+1.04%","1"
"10","↑14","1","24","陸運業","+0.46","+1.34%","1"
"11","↑22","1","33","パルプ・紙","+0.42","+2.20%","1"
"12","→","0","12","輸送用機器","+0.37","+0.51%","1"
"13","↑3","2","16","銀行業","+0.24","+0.76%","1"
"14","↑14","1","28","繊維製品","+0.16","+1.22%","1"
"15","↑5","2","20","証券・商品","-0.18","+0.52%","2"
"16","↑11","2","27","保険業","-0.35","+0.69%","1"
"17","↓3","0","14","情報・通信業","-0.36","-0.06%","0"
"18","↑11","1","29","小売業","-0.52","+0.60%","1"
"19","↑6","1","25","ゴム製品","-0.61","+0.35%","1"
"20","↓2","0","18","その他金融業","-0.77","-0.10%","0"
"21","↑2","1","23","精密機器","-0.92","-0.05%","0"
"22","↓7","0","15","不動産業","-0.92","-0.50%","0"
"23","↓16","0","7","建設業","-1.07","-1.39%","0"
"24","↓2","0","22","サービス業","-1.12","-0.31%","0"
"25","↑5","1","30","その他製品","-1.23","+0.07%","1"
"26","↓5","0","21","食料品","-1.29","-0.49%","0"
"27","↓16","0","11","化学","-1.32","-1.20%","0"
"28","↓2","0","26","空運業","-1.34","-0.30%","0"
"29","↓23","0","6","機械","-1.58","-1.95%","0"
"30","↓29","0","1","非鉄金属","-2.11","-7.35%","0"
"31","↓28","0","3","ガラス・土石","-2.17","-2.95%","0"
"32","↓28","0","4","金属製品","-2.25","-2.99%","0"
"33","↓23","0","10","電気機器","-3.72","-3.65%","0"
