順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑29","1","30","非鉄金属","+5.24","+5.87%","1"
"2","→","0","2","海運業","+1.82","-1.38%","0"
"3","↑24","1","27","ガラス・土石","+0.78","+1.11%","1"
"4","↑10","1","14","金属製品","+0.74","+0.07%","1"
"5","↑3","2","8","石油・石炭","+0.53","-0.53%","0"
"6","↑16","1","22","機械","+0.37","+0.48%","1"
"7","↑8","1","15","建設業","+0.32","-0.33%","0"
"8","↑11","1","19","電気・ガス","+0.17","+0.11%","1"
"9","↓6","0","3","鉱業","-0.06","-2.27%","0"
"10","↓3","0","7","電気機器","-0.07","-1.37%","0"
"11","↑14","1","25","化学","-0.12","+0.19%","1"
"12","↓6","0","6","輸送用機器","-0.14","-1.52%","0"
"13","↑5","2","18","鉄鋼","-0.22","-0.30%","0"
"14","↓10","0","4","情報・通信業","-0.30","-2.46%","0"
"15","↑8","1","23","不動産業","-0.42","-0.24%","0"
"16","↑8","1","24","銀行業","-0.52","-0.22%","0"
"17","↑3","1","20","倉庫・運輸","-0.57","-0.56%","0"
"18","↑10","1","28","その他金融業","-0.67","-0.16%","0"
"19","↓14","0","5","水産・農林業","-0.70","-2.35%","0"
"20","↑12","1","32","証券・商品","-0.70","+0.05%","1"
"21","↓10","0","11","食料品","-0.80","-1.67%","0"
"22","↑9","1","31","サービス業","-0.81","-0.12%","0"
"23","↓11","0","12","精密機器","-0.87","-1.72%","0"
"24","↓11","0","13","陸運業","-0.88","-1.72%","0"
"25","↓9","0","16","ゴム製品","-0.96","-1.49%","0"
"26","↓17","0","9","空運業","-1.04","-2.09%","0"
"27","↑2","1","29","保険業","-1.04","-0.52%","0"
"28","↓11","0","17","繊維製品","-1.06","-1.58%","0"
"29","↓8","0","21","小売業","-1.12","-1.11%","0"
"30","↓29","0","1","その他製品","-1.30","-6.42%","0"
"31","↓5","0","26","卸売業","-1.37","-1.05%","0"
"32","↑1","1","33","医薬品","-1.59","-0.82%","0"
"33","↓23","0","10","パルプ・紙","-1.78","-2.70%","0"
