順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑19","2","20","電気・ガス","+2.79","+2.82%","2"
"2","↑10","1","12","鉱業","+1.76","+1.18%","1"
"3","↑22","1","25","石油・石炭","+1.56","+1.80%","1"
"4","↓3","0","1","サービス業","+1.44","-1.45%","0"
"5","↑27","1","32","ガラス・土石","+1.29","+2.49%","1"
"6","→","0","6","輸送用機器","+1.06","-0.19%","0"
"7","↑12","1","19","パルプ・紙","+0.98","+1.00%","1"
"8","↑22","1","30","ゴム製品","+0.88","+1.70%","1"
"9","↓4","0","5","銀行業","+0.87","-0.67%","0"
"10","↑23","1","33","非鉄金属","+0.85","+2.61%","1"
"11","↑12","1","23","化学","+0.72","+0.84%","1"
"12","↓4","0","8","情報・通信業","+0.63","-0.26%","0"
"13","↑14","1","27","金属製品","+0.44","+0.92%","1"
"14","↑12","1","26","陸運業","+0.34","+0.61%","1"
"15","↓4","0","11","卸売業","+0.27","-0.55%","0"
"16","↓13","0","3","その他製品","+0.18","-1.90%","0"
"17","↑11","1","28","建設業","+0.15","+0.65%","1"
"18","↓3","0","15","繊維製品","+0.14","-0.24%","0"
"19","↓1","0","18","小売業","+0.10","+0.08%","2"
"20","↓6","0","14","倉庫・運輸","+0.06","-0.33%","0"
"21","↑1","3","22","食料品","+0.04","+0.09%","3"
"22","↑2","2","24","精密機器","+0.02","+0.22%","2"
"23","↑6","1","29","水産・農林業","0.00%","+0.82%","1"
"24","↑7","1","31","その他金融業","0.00%","+0.83%","1"
"25","↓16","0","9","保険業","-0.09","-0.97%","0"
"26","↓19","0","7","電気機器","-0.34","-1.24%","0"
"27","↓14","0","13","鉄鋼","-0.41","-0.95%","0"
"28","↓11","0","17","医薬品","-0.72","-0.98%","0"
"29","↓19","0","10","不動産業","-0.82","-1.68%","0"
"30","↓9","0","21","機械","-0.92","-0.88%","0"
"31","↓29","0","2","海運業","-1.13","-3.26%","0"
"32","↓28","0","4","証券・商品","-1.19","-2.90%","0"
"33","↓17","0","16","空運業","-1.26","-1.63%","0"
