順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑3","3","4","輸送用機器","+5.84","+4.75%","1"
"2","↑8","1","10","ゴム製品","+4.63","+4.25%","1"
"3","↑6","1","9","サービス業","+3.19","+2.70%","1"
"4","↓1","0","3","陸運業","+2.39","+1.29%","1"
"5","↓3","0","2","空運業","+2.32","+0.43%","1"
"6","↓5","0","1","小売業","+2.32","+0.15%","5"
"7","↓2","0","5","食料品","+2.29","+1.47%","1"
"8","↓2","0","6","鉄鋼","+2.25","+1.64%","1"
"9","↓2","0","7","水産・農林業","+2.22","+1.65%","1"
"10","↑1","1","11","その他製品","+2.20","+1.92%","1"
"11","↑2","1","13","不動産業","+1.95","+2.27%","1"
"12","↓4","0","8","医薬品","+1.91","+1.36%","2"
"13","↑12","1","25","その他金融業","+1.87","+4.59%","1"
"14","↑3","1","17","海運業","+1.65","+2.59%","1"
"15","↑1","1","16","保険業","+1.51","+2.34%","1"
"16","↑8","2","24","鉱業","+1.17","+3.41%","2"
"17","↓3","0","14","パルプ・紙","+1.12","+1.47%","1"
"18","↑3","2","21","石油・石炭","+1.09","+2.72%","1"
"19","→","0","19","電気・ガス","+0.93","+2.42%","1"
"20","↓2","0","18","卸売業","+0.93","+2.17%","1"
"21","↓6","0","15","情報・通信業","+0.85","+1.21%","1"
"22","↑4","1","26","精密機器","+0.63","+3.65%","1"
"23","↓1","0","22","繊維製品","+0.58","+2.64%","1"
"24","↓12","0","12","倉庫・運輸","+0.40","+0.52%","1"
"25","↓2","0","23","証券・商品","+0.40","+2.50%","1"
"26","↑1","2","27","化学","-0.12","+3.08%","1"
"27","↑2","1","29","機械","-0.68","+4.17%","1"
"28","→","0","28","銀行業","-1.00","+2.84%","1"
"29","↓9","0","20","建設業","-1.12","+0.46%","1"
"30","↑1","1","31","金属製品","-1.53","+3.77%","1"
"31","↑1","1","32","電気機器","-2.46","+3.70%","1"
"32","↓2","0","30","ガラス・土石","-2.52","+2.67%","1"
"33","→","0","33","非鉄金属","-5.39","+1.50%","1"
