順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","→","0","1","非鉄金属","+9.08","+3.76%","2"
"2","↑5","2","7","ガラス・土石","+4.64","+3.79%","2"
"3","↑28","1","31","情報・通信業","+4.60","+6.19%","1"
"4","↑1","2","5","電気機器","+4.16","+3.01%","2"
"5","↑3","1","8","金属製品","+3.61","+2.82%","2"
"6","↑9","2","15","その他金融業","+2.87","+3.26%","2"
"7","↑21","1","28","銀行業","+2.67","+3.87%","1"
"8","↓2","0","6","化学","+2.62","+1.60%","2"
"9","↑4","2","13","証券・商品","+2.51","+2.60%","2"
"10","↑2","3","12","鉄鋼","+2.41","+2.48%","4"
"11","↓2","0","9","繊維製品","+2.37","+1.63%","2"
"12","↑11","1","23","空運業","+2.06","+2.89%","1"
"13","↑8","2","21","輸送用機器","+1.31","+2.03%","2"
"14","↑2","2","16","ゴム製品","+1.28","+1.76%","2"
"15","↑14","1","29","保険業","+1.11","+2.56%","2"
"16","↑6","1","22","サービス業","+0.96","+1.75%","3"
"17","↑13","1","30","食料品","+0.90","+2.38%","1"
"18","↓1","0","17","不動産業","+0.82","+1.32%","2"
"19","↓9","0","10","建設業","+0.80","+0.27%","2"
"20","↓18","0","2","機械","+0.75","-2.50%","0"
"21","↓18","0","3","精密機器","+0.51","-1.40%","0"
"22","↓4","0","18","パルプ・紙","+0.47","+1.01%","3"
"23","↓12","0","11","その他製品","+0.23","+0.24%","3"
"24","↓4","0","20","医薬品","-0.10","+0.62%","3"
"25","→","0","25","石油・石炭","-0.10","+0.96%","2"
"26","↓2","0","24","卸売業","-0.21","+0.63%","1"
"27","↑6","1","33","陸運業","-0.50","+1.21%","3"
"28","↓1","0","27","小売業","-0.79","+0.41%","1"
"29","↓3","0","26","電気・ガス","-0.87","+0.31%","1"
"30","↑2","1","32","水産・農林業","-0.95","+0.74%","1"
"31","↓17","0","14","倉庫・運輸","-1.97","-1.59%","0"
"32","↓13","0","19","鉱業","-2.15","-1.55%","0"
"33","↓29","0","4","海運業","-2.93","-4.56%","0"
