順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑29","1","30","サービス業","+4.09","+5.38%","1"
"2","↓1","0","1","保険業","+2.45","+0.20%","3"
"3","↑5","2","8","その他製品","+2.03","+1.93%","2"
"4","↑14","1","18","水産・農林業","+1.77","+2.08%","1"
"5","↑12","1","17","陸運業","+1.74","+2.01%","1"
"6","→","0","6","銀行業","+1.52","+1.33%","1"
"7","↑2","3","9","倉庫・運輸","+1.27","+1.20%","2"
"8","↑13","3","21","小売業","+1.20","+1.90%","1"
"9","↑14","1","23","空運業","+1.17","+2.12%","1"
"10","↑6","1","16","証券・商品","+1.17","+1.39%","1"
"11","↓4","0","7","医薬品","+1.16","+1.02%","3"
"12","↓8","0","4","鉱業","+1.14","+0.27%","2"
"13","↑12","2","25","建設業","+1.10","+2.15%","2"
"14","↑5","2","19","不動産業","+1.05","+1.49%","2"
"15","↓13","0","2","海運業","+0.96","-0.32%","0"
"16","↓3","0","13","食料品","+0.93","+0.95%","3"
"17","↓5","0","12","その他金融業","+0.92","+0.93%","1"
"18","↓13","0","5","卸売業","+0.90","+0.69%","2"
"19","↓9","0","10","パルプ・紙","+0.70","+0.67%","1"
"20","↑12","1","32","電気機器","+0.54","+2.57%","1"
"21","↑6","2","27","機械","+0.43","+1.58%","2"
"22","↓7","0","15","繊維製品","+0.34","+0.41%","1"
"23","↓9","0","14","電気・ガス","+0.29","+0.34%","2"
"24","↑5","1","29","化学","+0.17","+1.38%","1"
"25","↓22","0","3","輸送用機器","+0.12","-1.02%","0"
"26","↓6","0","20","鉄鋼","+0.07","+0.62%","1"
"27","↓1","0","26","精密機器","+0.07","+1.14%","1"
"28","↑3","1","31","石油・石炭","-0.19","+1.35%","1"
"29","↓1","0","28","金属製品","-0.21","+0.98%","1"
"30","↓8","0","22","ガラス・土石","-0.26","+0.55%","2"
"31","↓20","0","11","ゴム製品","-0.75","-0.77%","0"
"32","↓8","0","24","情報・通信業","-1.87","-0.86%","0"
"33","→","0","33","非鉄金属","-2.35","+1.17%","2"
