順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑30","1","31","その他製品","+5.12","+5.76%","1"
"2","↑4","2","6","海運業","+3.20","+1.78%","2"
"3","↑26","1","29","鉱業","+2.21","+2.74%","1"
"4","↑13","3","17","情報・通信業","+2.16","+1.79%","1"
"5","↑10","1","15","水産・農林業","+1.65","+1.26%","1"
"6","↑24","1","30","輸送用機器","+1.38","+1.96%","1"
"7","↓4","0","3","電気機器","+1.30","-0.54%","0"
"8","↑17","1","25","石油・石炭","+1.06","+1.25%","1"
"9","↑12","2","21","空運業","+1.05","+0.98%","2"
"10","↑10","2","20","パルプ・紙","+0.92","+0.73%","2"
"11","↓1","0","10","食料品","+0.87","+0.16%","3"
"12","↓5","0","7","精密機器","+0.85","-0.45%","0"
"13","↑9","1","22","陸運業","+0.84","+0.91%","1"
"14","↓10","0","4","金属製品","+0.67","-1.06%","0"
"15","↓4","0","11","建設業","+0.65","-0.04%","0"
"16","↑17","1","33","ゴム製品","+0.53","+2.32%","1"
"17","↓4","0","13","繊維製品","+0.52","+0.03%","2"
"18","↑14","1","32","鉄鋼","+0.08","+1.22%","1"
"19","↓10","0","9","電気・ガス","+0.06","-0.86%","0"
"20","↓1","0","19","倉庫・運輸","-0.01","-0.21%","0"
"21","↑6","2","27","小売業","-0.01","+0.23%","2"
"22","↓17","0","5","機械","-0.11","-1.77%","0"
"23","↓5","0","18","不動産業","-0.18","-0.53%","0"
"24","↓23","0","1","銀行業","-0.30","-3.17%","0"
"25","↓1","0","24","化学","-0.31","-0.12%","0"
"26","→","0","26","卸売業","-0.32","-0.08%","0"
"27","↓25","0","2","ガラス・土石","-0.33","-2.19%","0"
"28","↓16","0","12","その他金融業","-0.51","-1.15%","0"
"29","↓1","0","28","保険業","-0.52","-0.04%","0"
"30","↓14","0","16","非鉄金属","-0.63","-1.00%","0"
"31","↓17","0","14","サービス業","-0.69","-1.14%","0"
"32","↓24","0","8","証券・商品","-0.75","-1.74%","0"
"33","↓10","0","23","医薬品","-0.77","-0.65%","0"
