順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑29","1","30","鉱業","+3.97","+5.63%","1"
"2","↑31","1","33","海運業","+3.54","+6.05%","1"
"3","↑3","3","6","化学","+1.96","+0.80%","3"
"4","↑22","1","26","サービス業","+1.84","+3.00%","1"
"5","↑17","1","22","鉄鋼","+1.80","+2.45%","1"
"6","↑19","1","25","電気・ガス","+1.77","+2.80%","1"
"7","↓4","0","3","情報・通信業","+1.75","-1.30%","0"
"8","↑4","2","12","ゴム製品","+1.74","+1.61%","2"
"9","↓8","0","1","金属製品","+1.71","-2.84%","0"
"10","↑21","1","31","保険業","+1.54","+3.66%","1"
"11","↑7","2","18","不動産業","+1.50","+2.01%","2"
"12","↑4","2","16","パルプ・紙","+1.34","+1.65%","2"
"13","↑6","1","19","卸売業","+1.32","+1.85%","1"
"14","→","0","14","石油・石炭","+1.10","+1.30%","1"
"15","↑8","2","23","陸運業","+1.04","+1.86%","1"
"16","↓6","0","10","銀行業","+0.97","+0.61%","2"
"17","↓13","0","4","証券・商品","+0.92","-0.82%","0"
"18","↑2","2","20","繊維製品","+0.80","+1.38%","2"
"19","↓8","0","11","輸送用機器","+0.79","+0.61%","3"
"20","↓11","0","9","その他金融業","+0.75","+0.34%","3"
"21","↑3","1","24","水産・農林業","+0.74","+1.62%","1"
"22","↑6","2","28","空運業","+0.70","+1.96%","2"
"23","↑6","1","29","食料品","+0.58","+1.98%","1"
"24","↓16","0","8","精密機器","+0.54","-0.26%","0"
"25","↓12","0","13","医薬品","+0.43","+0.54%","3"
"26","↑1","1","27","倉庫・運輸","+0.33","+1.57%","1"
"27","↓10","0","17","建設業","+0.29","+0.79%","3"
"28","↑4","1","32","小売業","+0.25","+2.38%","1"
"29","↓22","0","7","電気機器","+0.18","-0.86%","0"
"30","↓9","0","21","その他製品","+0.02","+0.65%","1"
"31","↓16","0","15","ガラス・土石","-0.07","+0.15%","1"
"32","↓27","0","5","機械","-0.17","-1.36%","0"
"33","↓31","0","2","非鉄金属","-1.31","-5.78%","0"
