順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑31","1","32","情報・通信業","+2.07","+3.94%","1"
"2","↑9","1","11","医薬品","+1.12","-0.04%","0"
"3","↓2","0","1","サービス業","+0.74","-3.35%","0"
"4","↑26","1","30","ガラス・土石","+0.50","+0.76%","3"
"5","↑14","1","19","パルプ・紙","+0.35","-0.35%","0"
"6","↑3","2","9","空運業","+0.31","-0.86%","0"
"7","↑22","1","29","金属製品","+0.24","+0.45%","2"
"8","↑23","1","31","ゴム製品","+0.03","+0.78%","1"
"9","↑15","2","24","化学","-0.02","-0.19%","0"
"10","↑15","1","25","輸送用機器","-0.17","-0.29%","0"
"11","↑11","1","22","繊維製品","-0.18","-0.52%","0"
"12","↓5","0","7","倉庫・運輸","-0.24","-1.51%","0"
"13","↑14","1","27","精密機器","-0.31","-0.38%","0"
"14","↑2","1","16","食料品","-0.33","-1.26%","0"
"15","↑5","2","20","電気機器","-0.46","-1.00%","0"
"16","↓8","0","8","小売業","-0.48","-1.68%","0"
"17","↑9","1","26","鉄鋼","-0.51","-0.58%","0"
"18","↑3","3","21","機械","-0.57","-1.00%","0"
"19","↓15","0","4","水産・農林業","-0.63","-2.40%","0"
"20","↓15","0","5","陸運業","-0.68","-2.42%","0"
"21","↓4","0","17","その他金融業","-0.70","-1.62%","0"
"22","↓19","0","3","その他製品","-0.84","-2.87%","0"
"23","→","0","23","電気・ガス","-0.88","-1.17%","0"
"24","↓11","0","13","建設業","-0.91","-2.01%","0"
"25","↓13","0","12","鉱業","-1.04","-2.18%","0"
"26","↑7","1","33","非鉄金属","-1.05","+1.30%","3"
"27","↓12","0","15","海運業","-1.24","-2.20%","0"
"28","↓14","0","14","不動産業","-1.42","-2.47%","0"
"29","↓11","0","18","卸売業","-1.44","-2.34%","0"
"30","↓28","0","2","保険業","-1.48","-3.93%","0"
"31","↓21","0","10","証券・商品","-1.60","-2.77%","0"
"32","↓26","0","6","銀行業","-1.85","-3.37%","0"
"33","↓5","0","28","石油・石炭","-2.24","-2.05%","0"
