順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑10","1","11","繊維製品","+5.35","+2.98%","3"
"2","↑22","1","24","医薬品","+2.90","+3.00%","4"
"3","↑20","1","23","その他製品","+2.61","+2.38%","4"
"4","↑13","2","17","食料品","+2.46","+1.56%","2"
"5","↑25","2","30","水産・農林業","+2.34","+3.29%","2"
"6","↑20","1","26","卸売業","+1.91","+2.12%","2"
"7","↑25","1","32","鉱業","+1.90","+4.05%","1"
"8","↑20","1","28","小売業","+1.87","+2.66%","2"
"9","↑5","3","14","ゴム製品","+1.86","+0.58%","3"
"10","↑23","1","33","海運業","+1.79","+4.72%","1"
"11","↑2","3","13","輸送用機器","+1.63","+0.32%","3"
"12","↓2","0","10","鉄鋼","+1.55","-0.86%","0"
"13","↑9","1","22","パルプ・紙","+1.45","+0.98%","4"
"14","↑11","1","25","石油・石炭","+1.38","+1.48%","3"
"15","↑1","2","16","サービス業","+1.36","+0.40%","4"
"16","↓9","0","7","銀行業","+1.21","-1.46%","0"
"17","↓9","0","8","化学","+0.99","-1.63%","0"
"18","↓9","0","9","証券・商品","+0.98","-1.53%","0"
"19","↓1","0","18","不動産業","+0.92","+0.10%","3"
"20","↑9","1","29","電気・ガス","+0.86","+1.73%","2"
"21","↑6","2","27","陸運業","+0.82","+1.32%","4"
"22","↓7","0","15","保険業","+0.66","-0.45%","0"
"23","↓4","0","19","建設業","+0.54","-0.26%","0"
"24","↓12","0","12","空運業","+0.37","-1.69%","0"
"25","↑6","1","31","倉庫・運輸","+0.25","+2.22%","1"
"26","↓20","0","6","その他金融業","+0.16","-2.71%","0"
"27","↓7","0","20","機械","-0.40","-1.15%","0"
"28","↓7","0","21","精密機器","-0.45","-0.96%","0"
"29","↓26","0","3","情報・通信業","-0.57","-5.17%","0"
"30","↓25","0","5","金属製品","-1.40","-5.01%","0"
"31","↓27","0","4","電気機器","-1.98","-6.14%","0"
"32","↓30","0","2","ガラス・土石","-2.09","-6.73%","0"
"33","↓32","0","1","非鉄金属","-5.62","-14.70%","0"
