順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑7","1","8","卸売業","+2.46","+3.96%","1"
"2","↑10","1","12","電気・ガス","+2.44","+4.51%","1"
"3","↓1","0","2","海運業","+2.28","+2.58%","1"
"4","↑18","1","22","石油・石炭","+2.06","+4.74%","1"
"5","→","0","5","保険業","+1.72","+2.52%","1"
"6","↑9","1","15","鉄鋼","+1.59","+3.79%","1"
"7","↑6","3","13","証券・商品","+1.43","+3.60%","1"
"8","↓5","0","3","銀行業","+1.42","+2.08%","1"
"9","↑19","1","28","空運業","+1.09","+4.25%","1"
"10","↑15","2","25","機械","+1.07","+4.05%","1"
"11","↓1","0","10","その他金融業","+0.71","+2.25%","1"
"12","↓8","0","4","医薬品","+0.68","+1.38%","1"
"13","↑19","2","32","サービス業","+0.64","+4.79%","1"
"14","↑4","1","18","建設業","+0.42","+2.71%","1"
"15","↑9","2","24","金属製品","+0.37","+3.23%","1"
"16","↑11","1","27","繊維製品","+0.35","+3.41%","1"
"17","↓8","0","9","倉庫・運輸","+0.34","+1.88%","1"
"18","↑5","2","23","その他製品","+0.30","+2.99%","1"
"19","↑7","1","26","情報・通信業","+0.12","+3.10%","1"
"20","↑9","1","29","輸送用機器","+0.01","+3.42%","1"
"21","↓10","0","11","陸運業","0.00%","+1.60%","1"
"22","↓3","0","19","化学","-0.05","+2.39%","1"
"23","↑7","1","30","電気機器","-0.20","+3.39%","1"
"24","↓23","0","1","水産・農林業","-0.26","-0.21%","0"
"25","↓4","0","21","精密機器","-0.28","+2.35%","1"
"26","↓19","0","7","小売業","-0.36","+0.89%","1"
"27","↑4","1","31","ガラス・土石","-0.37","+3.63%","1"
"28","↓11","0","17","パルプ・紙","-0.39","+1.87%","1"
"29","↓9","0","20","ゴム製品","-0.56","+1.94%","1"
"30","↓16","0","14","不動産業","-0.69","+1.50%","1"
"31","↓25","0","6","食料品","-0.70","+0.24%","1"
"32","↑1","1","33","非鉄金属","-2.05","+2.99%","1"
"33","↓17","0","16","鉱業","-3.26","-1.01%","0"
