順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑31","1","32","非鉄金属","+2.29","+3.39%","1"
"2","↑27","1","29","電気機器","+1.98","+2.35%","1"
"3","↑25","1","28","金属製品","+0.64","+0.44%","1"
"4","↑21","1","25","ガラス・土石","+0.60","+0.06%","1"
"5","↑16","1","21","機械","+0.37","-0.65%","0"
"6","↓3","0","3","医薬品","+0.07","-2.54%","0"
"7","↑24","1","31","証券・商品","+0.02","+1.05%","1"
"8","↑18","1","26","化学","-0.02","-0.37%","0"
"9","↑24","1","33","鉱業","-0.15","+2.99%","1"
"10","↑6","2","16","精密機器","-0.25","-1.56%","0"
"11","↑6","2","17","情報・通信業","-0.38","-1.63%","0"
"12","↓6","0","6","空運業","-0.45","-2.54%","0"
"13","↑14","1","27","銀行業","-0.54","-0.82%","0"
"14","↓3","0","11","サービス業","-0.61","-2.22%","0"
"15","↑4","2","19","輸送用機器","-0.66","-1.70%","0"
"16","↑8","2","24","小売業","-0.80","-1.51%","0"
"17","↓13","0","4","鉄鋼","-0.86","-3.12%","0"
"18","↓3","0","15","パルプ・紙","-0.95","-2.29%","0"
"19","↓10","0","9","建設業","-0.98","-2.73%","0"
"20","→","0","20","その他金融業","-1.05","-2.08%","0"
"21","↓19","0","2","その他製品","-1.06","-3.94%","0"
"22","↓17","0","5","保険業","-1.14","-3.26%","0"
"23","↓16","0","7","ゴム製品","-1.26","-3.25%","0"
"24","↓14","0","10","食料品","-1.28","-2.96%","0"
"25","↓3","0","22","繊維製品","-1.32","-2.27%","0"
"26","↓14","0","12","卸売業","-1.35","-2.80%","0"
"27","↓13","0","14","陸運業","-1.38","-2.73%","0"
"28","↓5","0","23","倉庫・運輸","-1.41","-2.35%","0"
"29","↓21","0","8","不動産業","-1.47","-3.39%","0"
"30","↓29","0","1","海運業","-1.72","-4.81%","0"
"31","↓18","0","13","水産・農林業","-1.77","-3.15%","0"
"32","↓2","0","30","石油・石炭","-1.88","-1.23%","0"
"33","↓15","0","18","電気・ガス","-2.24","-3.47%","0"
