順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑31","1","32","海運業","+3.06","+5.44%","1"
"2","↑5","3","7","ガラス・土石","+2.49","+1.94%","3"
"3","↑2","3","5","電気機器","+2.14","+1.15%","3"
"4","↓1","0","3","非鉄金属","+2.01","+0.40%","3"
"5","↓4","0","1","情報・通信業","+1.94","-1.61%","0"
"6","↑7","1","13","機械","+1.85","+2.05%","1"
"7","↑19","1","26","石油・石炭","+1.73","+3.45%","1"
"8","↑20","1","28","卸売業","+1.66","+3.67%","1"
"9","↑16","1","25","鉄鋼","+1.26","+2.92%","1"
"10","↑21","1","31","電気・ガス","+1.13","+3.48%","1"
"11","↓3","0","8","金属製品","+0.93","+0.46%","3"
"12","↑7","1","19","建設業","+0.63","+1.25%","1"
"13","↑20","1","33","鉱業","+0.38","+3.21%","2"
"14","↑10","1","24","繊維製品","+0.36","+1.84%","1"
"15","↑7","1","22","輸送用機器","+0.28","+1.35%","1"
"16","↑7","1","23","化学","+0.27","+1.41%","1"
"17","↓5","0","12","倉庫・運輸","+0.24","+0.38%","1"
"18","↑3","2","21","精密機器","-0.24","+0.80%","1"
"19","↓15","0","4","空運業","-0.40","-1.52%","0"
"20","↓3","0","17","その他金融業","-0.43","+0.05%","1"
"21","↑6","2","27","ゴム製品","-0.50","+1.41%","1"
"22","↓7","0","15","パルプ・紙","-0.51","-0.15%","0"
"23","↓21","0","2","証券・商品","-0.51","-2.63%","0"
"24","↓8","0","16","陸運業","-0.73","-0.34%","0"
"25","↓5","0","20","食料品","-0.80","+0.22%","1"
"26","↓16","0","10","保険業","-0.95","-1.08%","0"
"27","↓21","0","6","小売業","-0.97","-1.90%","0"
"28","↓14","0","14","不動産業","-1.01","-0.74%","0"
"29","↓18","0","11","その他製品","-1.02","-1.13%","0"
"30","↓12","0","18","サービス業","-1.05","-0.56%","0"
"31","↓22","0","9","銀行業","-1.17","-1.44%","0"
"32","↓3","0","29","医薬品","-1.27","+0.88%","1"
"33","↓3","0","30","水産・農林業","-1.36","+0.99%","1"
