順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑25","1","26","サービス業","+2.11","+2.77%","1"
"2","↑22","1","24","建設業","+1.34","+1.67%","1"
"3","↑30","1","33","その他製品","+1.25","+3.03%","1"
"4","↑1","3","5","卸売業","+1.23","-0.49%","0"
"5","↑23","1","28","機械","+1.13","+1.97%","1"
"6","↑19","2","25","鉄鋼","+1.09","+1.63%","3"
"7","↓6","0","1","海運業","+0.93","-3.99%","0"
"8","↑7","1","15","ゴム製品","+0.81","+0.39%","1"
"9","↑1","2","10","その他金融業","+0.80","-0.34%","0"
"10","↑6","2","16","倉庫・運輸","+0.76","+0.39%","3"
"11","↑6","1","17","不動産業","+0.64","+0.32%","1"
"12","↓9","0","3","石油・石炭","+0.43","-1.66%","0"
"13","↑19","1","32","医薬品","+0.32","+1.79%","1"
"14","↑6","4","20","金属製品","+0.30","+0.45%","1"
"15","↓3","0","12","パルプ・紙","+0.25","-0.66%","0"
"16","↑15","1","31","精密機器","+0.17","+1.21%","1"
"17","↓9","0","8","陸運業","+0.15","-1.04%","0"
"18","↑1","1","19","繊維製品","+0.06","+0.17%","1"
"19","↑2","4","21","電気機器","+0.05","+0.29%","1"
"20","↓13","0","7","証券・商品","+0.05","-1.27%","0"
"21","↑1","1","22","化学","-0.03","+0.22%","1"
"22","↓4","0","18","空運業","-0.04","-0.17%","0"
"23","↑7","1","30","小売業","-0.05","+0.84%","1"
"24","↓15","0","9","輸送用機器","-0.10","-1.26%","0"
"25","↓12","0","13","食料品","-0.38","-1.17%","0"
"26","↓20","0","6","電気・ガス","-0.44","-2.06%","0"
"27","↓16","0","11","銀行業","-0.52","-1.55%","0"
"28","↓1","0","27","非鉄金属","-0.72","-0.02%","0"
"29","→","0","29","ガラス・土石","-0.73","+0.16%","1"
"30","↓16","0","14","水産・農林業","-0.82","-1.26%","0"
"31","↓27","0","4","保険業","-0.84","-2.73%","0"
"32","↓9","0","23","情報・通信業","-1.17","-0.86%","0"
"33","↓31","0","2","鉱業","-1.18","-3.36%","0"
