順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑26","1","27","非鉄金属","+6.88","+10.17%","1"
"2","→","0","2","石油・石炭","+5.01","+3.10%","3"
"3","→","0","3","鉱業","+2.17","+1.09%","4"
"4","↑7","1","11","電気・ガス","+1.98","+2.22%","1"
"5","↑28","1","33","ガラス・土石","+1.81","+6.25%","1"
"6","↑24","1","30","機械","+1.65","+5.30%","1"
"7","↑1","3","8","建設業","+1.24","+1.16%","1"
"8","↑7","1","15","卸売業","+1.05","+1.90%","1"
"9","↑14","1","23","化学","+0.67","+3.28%","1"
"10","↓9","0","1","情報・通信業","+0.58","-1.62%","0"
"11","↑14","1","25","繊維製品","+0.54","+3.31%","1"
"12","↑20","1","32","輸送用機器","+0.35","+4.49%","1"
"13","↓7","0","6","不動産業","+0.31","+0.08%","2"
"14","↑10","1","24","鉄鋼","+0.29","+3.04%","1"
"15","↑11","1","26","金属製品","+0.23","+3.40%","1"
"16","↓12","0","4","陸運業","+0.10","-0.51%","0"
"17","↓1","0","16","パルプ・紙","-0.05","+0.94%","1"
"18","↑13","1","31","電気機器","-0.09","+3.81%","1"
"19","↓6","0","13","倉庫・運輸","-0.17","+0.37%","1"
"20","↑8","1","28","ゴム製品","-0.41","+3.12%","1"
"21","↑1","1","22","その他金融業","-0.41","+1.42%","1"
"22","↓10","0","12","食料品","-0.79","-0.31%","0"
"23","↓16","0","7","空運業","-0.88","-1.09%","0"
"24","↑5","1","29","精密機器","-0.99","+2.65%","1"
"25","↓16","0","9","水産・農林業","-1.02","-1.08%","0"
"26","↓9","0","17","海運業","-1.33","-0.33%","0"
"27","↓9","0","18","その他製品","-1.46","-0.29%","0"
"28","↓8","0","20","銀行業","-1.72","-0.24%","0"
"29","↓19","0","10","医薬品","-1.76","-1.56%","0"
"30","↓11","0","19","保険業","-1.83","-0.54%","0"
"31","↓26","0","5","小売業","-1.85","-2.22%","0"
"32","↓11","0","21","サービス業","-1.86","-0.33%","0"
"33","↓19","0","14","証券・商品","-2.31","-1.54%","0"
