順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑2","2","3","非鉄金属","+9.29","+8.47%","3"
"2","↓1","0","1","電気機器","+6.15","+3.15%","3"
"3","↑3","2","6","ガラス・土石","+4.01","+4.26%","3"
"4","↑29","1","33","証券・商品","+3.21","+6.94%","1"
"5","↑2","3","7","機械","+2.95","+3.22%","3"
"6","↑26","1","32","銀行業","+1.84","+4.91%","1"
"7","↑13","3","20","金属製品","+1.74","+3.00%","3"
"8","↓4","0","4","精密機器","+1.59","+1.05%","1"
"9","↑3","4","12","石油・石炭","+1.28","+1.83%","1"
"10","↑21","1","31","その他金融業","+0.78","+3.67%","1"
"11","↓2","0","9","卸売業","+0.51","+0.87%","1"
"12","↑11","1","23","情報・通信業","+0.49","+2.08%","1"
"13","↓3","0","10","化学","+0.46","+0.89%","1"
"14","↓9","0","5","鉱業","+0.39","+0.06%","1"
"15","↑7","1","22","電気・ガス","+0.12","+1.63%","1"
"16","↓8","0","8","海運業","-0.22","+0.09%","1"
"17","↓4","0","13","繊維製品","-0.29","+0.33%","1"
"18","↓2","0","16","建設業","-0.55","+0.60%","1"
"19","↑7","1","26","保険業","-0.66","+1.20%","1"
"20","↑1","1","21","食料品","-0.71","+0.70%","1"
"21","↓10","0","11","倉庫・運輸","-0.80","-0.36%","0"
"22","↓5","0","17","鉄鋼","-0.95","+0.20%","1"
"23","↑7","1","30","空運業","-1.19","+0.99%","1"
"24","↓9","0","15","ゴム製品","-1.41","-0.32%","0"
"25","↓1","0","24","サービス業","-1.63","-0.03%","0"
"26","↓12","0","14","パルプ・紙","-2.06","-1.27%","0"
"27","↓2","0","25","小売業","-2.67","-0.83%","0"
"28","↑1","1","29","水産・農林業","-2.72","-0.54%","0"
"29","↓2","0","27","輸送用機器","-2.84","-0.97%","0"
"30","↓28","0","2","その他製品","-2.90","-3.76%","0"
"31","↓3","0","28","陸運業","-3.27","-1.36%","0"
"32","↓14","0","18","不動産業","-3.30","-2.14%","0"
"33","↓14","0","19","医薬品","-4.20","-2.99%","0"
