順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑3","2","4","保険業","+2.25","+1.05%","2"
"2","↑20","2","22","海運業","+1.28","+1.85%","2"
"3","↑7","3","10","輸送用機器","+1.14","+0.70%","3"
"4","↑22","1","26","鉱業","+0.87","+1.86%","1"
"5","↑22","1","27","卸売業","+0.21","+1.24%","1"
"6","↓3","0","3","銀行業","+0.19","-1.76%","0"
"7","↑13","2","20","医薬品","+0.14","+0.41%","2"
"8","↑24","1","32","その他製品","+0.10","+2.91%","1"
"9","↑9","2","18","倉庫・運輸","+0.07","+0.27%","1"
"10","↑6","2","16","パルプ・紙","+0.03","0.00%","0"
"11","→","0","11","ゴム製品","+0.02","-0.40%","0"
"12","↓6","0","6","その他金融業","-0.01","-0.88%","0"
"13","↑6","2","19","食料品","-0.02","+0.23%","2"
"14","↑10","1","24","電気・ガス","-0.05","+0.72%","1"
"15","↓1","0","14","繊維製品","-0.07","-0.22%","0"
"16","↓15","0","1","証券・商品","-0.22","-2.67%","0"
"17","→","0","17","陸運業","-0.27","-0.13%","0"
"18","↓5","0","13","水産・農林業","-0.31","-0.55%","0"
"19","↑9","1","28","不動産業","-0.44","+0.69%","1"
"20","↓15","0","5","鉄鋼","-0.55","-1.49%","0"
"21","↑2","2","23","小売業","-0.70","-0.01%","0"
"22","↑7","1","29","ガラス・土石","-0.81","+0.47%","1"
"23","↓11","0","12","空運業","-0.95","-1.20%","0"
"24","↓16","0","8","情報・通信業","-1.01","-1.70%","0"
"25","↑6","1","31","建設業","-1.05","+1.28%","1"
"26","↓5","0","21","精密機器","-1.07","-0.58%","0"
"27","↑3","1","30","機械","-1.15","+0.17%","1"
"28","↓3","0","25","金属製品","-1.19","-0.32%","0"
"29","↓14","0","15","化学","-1.21","-1.33%","0"
"30","↓28","0","2","サービス業","-1.29","-3.43%","0"
"31","↓22","0","9","石油・石炭","-1.54","-2.11%","0"
"32","↓25","0","7","電気機器","-2.03","-2.79%","0"
"33","→","0","33","非鉄金属","-3.52","+0.11%","1"
