順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑15","2","16","金属製品","+4.55","+4.73%","2"
"2","→","0","2","非鉄金属","+4.47","+2.75%","2"
"3","↑12","1","15","情報・通信業","+3.05","+3.17%","1"
"4","↑24","1","28","証券・商品","+1.74","+2.96%","1"
"5","↑5","2","10","機械","+1.19","+0.83%","2"
"6","↑7","2","13","化学","+1.16","+1.11%","2"
"7","↓6","0","1","電気機器","+1.04","-1.43%","0"
"8","↓5","0","3","精密機器","+0.80","-0.63%","0"
"9","↑3","2","12","その他金融業","+0.41","+0.25%","2"
"10","↑8","1","18","銀行業","+0.36","+0.78%","1"
"11","↑21","1","32","輸送用機器","+0.18","+2.06%","2"
"12","↑19","1","31","ゴム製品","+0.13","+1.72%","1"
"13","↑7","2","20","医薬品","-0.11","+0.38%","2"
"14","↓6","0","8","石油・石炭","-0.20","-0.99%","0"
"15","↓9","0","6","ガラス・土石","-0.22","-1.18%","0"
"16","↑10","1","26","パルプ・紙","-0.31","+0.74%","1"
"17","↑4","2","21","建設業","-0.50","+0.04%","2"
"18","↑11","1","29","不動産業","-0.51","+0.83%","1"
"19","→","0","19","卸売業","-0.53","-0.09%","0"
"20","↑10","1","30","繊維製品","-0.58","+0.78%","1"
"21","↓10","0","11","その他製品","-0.63","-0.87%","0"
"22","→","0","22","鉄鋼","-0.65","-0.10%","0"
"23","↑1","1","24","陸運業","-0.82","-0.15%","0"
"24","↓1","0","23","水産・農林業","-0.88","-0.30%","0"
"25","↓8","0","17","電気・ガス","-1.03","-0.68%","0"
"26","↓19","0","7","サービス業","-1.16","-2.07%","0"
"27","↓13","0","14","倉庫・運輸","-1.24","-1.19%","0"
"28","↑5","1","33","空運業","-1.26","+0.97%","1"
"29","↓4","0","25","食料品","-1.40","-0.63%","0"
"30","↓25","0","5","鉱業","-1.66","-2.67%","0"
"31","↓22","0","9","保険業","-2.12","-2.87%","0"
"32","↓5","0","27","小売業","-2.13","-0.94%","0"
"33","↓29","0","4","海運業","-2.51","-3.61%","0"
