順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑3","2","4","海運業","+3.09","+1.17%","2"
"2","↑26","1","28","その他製品","+2.88","+3.24%","2"
"3","↑30","1","33","医薬品","+2.61","+3.51%","1"
"4","↑6","3","10","鉄鋼","+2.26","+1.12%","2"
"5","↑16","2","21","保険業","+2.12","+1.81%","2"
"6","↑25","1","31","空運業","+2.09","+2.79%","1"
"7","↑20","1","27","ゴム製品","+1.99","+2.30%","1"
"8","↑10","2","18","不動産業","+1.92","+1.16%","2"
"9","→","0","9","建設業","+1.75","+0.52%","2"
"10","↑14","1","24","食料品","+1.68","+1.76%","2"
"11","↑4","1","15","サービス業","+1.61","+0.80%","2"
"12","↑2","2","14","卸売業","+1.45","+0.62%","2"
"13","↑10","1","23","水産・農林業","+1.38","+1.33%","2"
"14","↑12","1","26","陸運業","+1.35","+1.62%","2"
"15","↑4","1","19","パルプ・紙","+1.34","+0.67%","2"
"16","↑4","1","20","精密機器","+1.31","+0.86%","2"
"17","↑15","1","32","情報・通信業","+1.25","+2.05%","1"
"18","↓6","0","12","電気・ガス","+1.23","+0.21%","2"
"19","↑3","1","22","輸送用機器","+1.04","+0.86%","2"
"20","↓3","0","17","その他金融業","+1.03","+0.25%","2"
"21","↓5","0","16","機械","+1.02","+0.22%","2"
"22","↓19","0","3","繊維製品","+0.95","-1.07%","0"
"23","↓10","0","13","倉庫・運輸","+0.94","+0.08%","2"
"24","↑5","1","29","小売業","+0.71","+1.27%","1"
"25","↓17","0","8","ガラス・土石","+0.54","-0.85%","0"
"26","↓20","0","6","化学","+0.35","-1.46%","0"
"27","↓2","0","25","銀行業","+0.28","+0.39%","2"
"28","↓17","0","11","金属製品","+0.20","-0.90%","0"
"29","↓22","0","7","電気機器","-0.37","-1.98%","0"
"30","↓29","0","1","石油・石炭","-0.65","-5.27%","0"
"31","↓1","0","30","証券・商品","-1.03","-0.42%","0"
"32","↓27","0","5","非鉄金属","-1.10","-2.95%","0"
"33","↓31","0","2","鉱業","-3.14","-6.29%","0"
