順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑13","2","14","石油・石炭","+4.24","+2.86%","4"
"2","↑1","2","3","その他製品","+3.63","+1.02%","5"
"3","↑6","4","9","ゴム製品","+3.03","+1.17%","4"
"4","↑29","1","33","非鉄金属","+2.80","+8.42%","1"
"5","↑5","2","10","海運業","+2.61","+0.82%","2"
"6","↓4","0","2","医薬品","+2.57","-0.33%","0"
"7","↓1","0","6","卸売業","+2.18","+0.27%","3"
"8","↑17","2","25","倉庫・運輸","+2.16","+1.91%","2"
"9","↓8","0","1","繊維製品","+1.73","-3.62%","0"
"10","↑5","3","15","サービス業","+1.42","+0.06%","5"
"11","↓7","0","4","食料品","+1.29","-1.17%","0"
"12","→","0","12","鉄鋼","+1.15","-0.40%","0"
"13","↓5","0","8","小売業","+1.13","-0.74%","0"
"14","↑7","3","21","陸運業","+1.06","+0.24%","5"
"15","↑7","1","22","保険業","+1.05","+0.39%","1"
"16","↓3","0","13","パルプ・紙","+0.97","-0.48%","0"
"17","↑2","1","19","不動産業","+0.64","-0.28%","0"
"18","↑10","1","28","精密機器","+0.62","+1.07%","1"
"19","↓12","0","7","鉱業","+0.61","-1.29%","0"
"20","↑9","1","29","情報・通信業","+0.61","+1.18%","1"
"21","↓10","0","11","輸送用機器","+0.19","-1.44%","0"
"22","↓17","0","5","水産・農林業","+0.02","-2.32%","0"
"23","↓3","0","20","電気・ガス","-0.01","-0.87%","0"
"24","↓8","0","16","銀行業","-0.31","-1.52%","0"
"25","↑6","1","31","電気機器","-0.33","+1.65%","1"
"26","↓2","0","24","空運業","-0.35","-0.72%","0"
"27","↑3","1","30","金属製品","-0.49","+0.91%","1"
"28","↓11","0","17","化学","-0.54","-1.53%","0"
"29","↓2","0","27","機械","-0.66","-0.26%","0"
"30","↑2","1","32","ガラス・土石","-1.01","+1.08%","1"
"31","↓13","0","18","証券・商品","-1.13","-2.11%","0"
"32","↓6","0","26","その他金融業","-1.39","-1.55%","0"
"33","↓10","0","23","建設業","-1.48","-2.02%","0"
