順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑25","1","26","銀行業","+4.08","+5.74%","1"
"2","↑25","1","27","証券・商品","+2.08","+3.81%","1"
"3","↑19","1","22","その他金融業","+1.85","+2.64%","2"
"4","↓1","0","3","電気機器","+1.80","+0.13%","1"
"5","↓3","0","2","精密機器","+1.45","-0.28%","0"
"6","↑27","1","33","サービス業","+1.45","+6.06%","1"
"7","↑5","2","12","倉庫・運輸","+1.39","+1.26%","2"
"8","↑23","1","31","保険業","+1.37","+4.26%","1"
"9","↑15","1","24","医薬品","+1.10","+2.28%","1"
"10","↓5","0","5","機械","+0.95","-0.39%","0"
"11","↑19","1","30","海運業","+0.91","+3.36%","1"
"12","↑5","2","17","石油・石炭","+0.89","+1.27%","2"
"13","→","0","13","食料品","+0.88","+0.98%","2"
"14","↓13","0","1","ゴム製品","+0.88","-0.86%","0"
"15","↑1","2","16","パルプ・紙","+0.83","+1.21%","2"
"16","↓8","0","8","空運業","+0.77","-0.07%","0"
"17","↑11","1","28","卸売業","+0.76","+2.76%","1"
"18","↓12","0","6","化学","+0.71","-0.44%","0"
"19","↓15","0","4","ガラス・土石","+0.71","-0.79%","0"
"20","↓11","0","9","非鉄金属","+0.65","-0.06%","0"
"21","↑4","1","25","鉄鋼","+0.63","+2.01%","1"
"22","↓7","0","15","小売業","+0.63","+0.98%","2"
"23","↓2","0","21","陸運業","+0.61","+1.31%","2"
"24","↓17","0","7","金属製品","+0.56","-0.43%","0"
"25","↑4","1","29","鉱業","+0.49","+2.70%","1"
"26","↓3","0","23","輸送用機器","+0.46","+1.34%","1"
"27","↓16","0","11","繊維製品","+0.43","+0.07%","2"
"28","↓18","0","10","不動産業","+0.35","-0.02%","0"
"29","↓10","0","19","水産・農林業","+0.19","+0.67%","2"
"30","↑2","2","32","電気・ガス","+0.13","+3.46%","1"
"31","↓11","0","20","その他製品","+0.05","+0.54%","2"
"32","↓18","0","14","建設業","-0.52","-0.19%","0"
"33","↓15","0","18","情報・通信業","-0.88","-0.50%","0"
