順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑9","4","10","サービス業","+9.38","+7.96%","6"
"2","↑16","2","18","精密機器","+4.37","+3.75%","2"
"3","↑1","2","4","非鉄金属","+3.27","+0.47%","2"
"4","↑15","1","19","鉱業","+3.07","+2.46%","1"
"5","↓3","0","2","その他製品","+2.18","-1.45%","0"
"6","↓3","0","3","ゴム製品","+1.72","-1.31%","0"
"7","↑18","2","25","電気機器","+1.70","+2.03%","2"
"8","↓2","0","6","医薬品","+1.12","-1.45%","0"
"9","→","0","9","繊維製品","+1.07","-0.66%","0"
"10","↓5","0","5","海運業","+1.01","-1.60%","0"
"11","↑17","1","28","化学","+0.87","+1.41%","1"
"12","↑1","1","13","小売業","+0.81","-0.32%","0"
"13","↑17","2","30","ガラス・土石","+0.75","+1.76%","2"
"14","↑15","1","29","機械","+0.60","+1.26%","1"
"15","↑6","1","21","輸送用機器","+0.52","+0.33%","1"
"16","↑11","2","27","金属製品","+0.44","+0.93%","2"
"17","↓6","0","11","食料品","+0.08","-1.21%","0"
"18","↑4","1","22","水産・農林業","+0.05","+0.03%","1"
"19","↓3","0","16","パルプ・紙","-0.06","-1.03%","0"
"20","↓6","0","14","陸運業","-0.06","-1.12%","0"
"21","↓14","0","7","卸売業","-0.26","-2.44%","0"
"22","↓14","0","8","倉庫・運輸","-0.52","-2.68%","0"
"23","↑3","1","26","空運業","-0.55","-0.20%","0"
"24","↓1","0","23","電気・ガス","-0.56","-0.55%","0"
"25","↓5","0","20","情報・通信業","-0.57","-1.18%","0"
"26","↑5","1","31","証券・商品","-0.66","+0.47%","1"
"27","↓15","0","12","鉄鋼","-1.08","-2.23%","0"
"28","↑4","1","32","その他金融業","-1.10","+0.29%","1"
"29","↑4","1","33","建設業","-1.15","+0.33%","1"
"30","↓6","0","24","銀行業","-1.89","-1.58%","0"
"31","↓14","0","17","不動産業","-1.99","-2.63%","0"
"32","↓17","0","15","保険業","-2.48","-3.53%","0"
"33","↓32","0","1","石油・石炭","-4.78","-9.02%","0"
