順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑30","2","31","電気機器","+3.00","+5.46%","2"
"2","↑8","2","10","その他製品","+0.86","-1.34%","0"
"3","↑30","1","33","非鉄金属","+0.82","+6.21%","2"
"4","↑18","2","22","精密機器","+0.54","-0.09%","0"
"5","↑11","3","16","鉱業","+0.33","-0.84%","0"
"6","↑26","1","32","ガラス・土石","-0.25","+2.27%","2"
"7","↑20","2","27","機械","-0.27","+0.41%","2"
"8","↑6","2","14","海運業","-0.31","-1.96%","0"
"9","↑11","1","20","卸売業","-0.36","-1.29%","0"
"10","↑16","3","26","化学","-0.43","-0.31%","0"
"11","↑13","1","24","倉庫・運輸","-0.44","-0.84%","0"
"12","↑6","3","18","石油・石炭","-0.55","-1.64%","0"
"13","↑10","1","23","繊維製品","-0.62","-1.20%","0"
"14","↑3","1","17","パルプ・紙","-0.79","-1.91%","0"
"15","↓13","0","2","ゴム製品","-1.09","-5.72%","0"
"16","↑13","1","29","建設業","-1.15","-0.03%","0"
"17","↓9","0","8","鉄鋼","-1.15","-3.40%","0"
"18","↓7","0","11","不動産業","-1.16","-3.11%","0"
"19","↓7","0","12","医薬品","-1.21","-3.12%","0"
"20","↑10","2","30","金属製品","-1.26","+0.27%","2"
"21","↓14","0","7","食料品","-1.41","-3.70%","0"
"22","↓3","0","19","電気・ガス","-1.51","-2.44%","0"
"23","↓2","0","21","情報・通信業","-1.59","-2.44%","0"
"24","↓21","0","3","サービス業","-1.60","-4.79%","0"
"25","↓19","0","6","小売業","-1.84","-4.16%","0"
"26","↓11","0","15","保険業","-1.86","-3.37%","0"
"27","↓26","0","1","輸送用機器","-1.87","-7.71%","0"
"28","↓24","0","4","陸運業","-1.91","-4.30%","0"
"29","↓20","0","9","水産・農林業","-2.18","-4.40%","0"
"30","↓25","0","5","空運業","-2.18","-4.50%","0"
"31","↓18","0","13","その他金融業","-2.89","-4.76%","0"
"32","↓4","0","28","銀行業","-3.07","-2.07%","0"
"33","↓8","0","25","証券・商品","-3.73","-4.13%","0"
