順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑32","1","33","非鉄金属","+4.55","+5.86%","1"
"2","↑15","1","17","証券・商品","+3.66","+2.74%","1"
"3","↑28","1","31","ガラス・土石","+2.18","+2.25%","2"
"4","↑25","1","29","電気機器","+2.13","+1.95%","1"
"5","↑8","2","13","卸売業","+2.10","+0.78%","2"
"6","↑10","1","16","銀行業","+2.09","+1.12%","3"
"7","↑25","1","32","機械","+1.94","+2.11%","1"
"8","↑19","1","27","建設業","+1.92","+1.63%","4"
"9","↑11","1","20","その他金融業","+1.91","+1.16%","4"
"10","↓7","0","3","化学","+1.68","-0.28%","0"
"11","↓9","0","2","海運業","+1.66","-1.88%","0"
"12","↓6","0","6","電気・ガス","+1.35","-0.42%","0"
"13","↑5","3","18","繊維製品","+1.28","+0.48%","3"
"14","↓2","0","12","パルプ・紙","+1.26","-0.08%","0"
"15","↓1","0","14","石油・石炭","+1.11","+0.01%","2"
"16","↑10","2","26","倉庫・運輸","+1.05","+0.72%","2"
"17","↓7","0","10","保険業","+1.04","-0.50%","0"
"18","↑1","1","19","輸送用機器","+1.02","+0.23%","4"
"19","↓11","0","8","ゴム製品","+0.94","-0.80%","0"
"20","↓15","0","5","鉄鋼","+0.88","-0.92%","0"
"21","↓10","0","11","不動産業","+0.78","-0.72%","0"
"22","↓7","0","15","陸運業","+0.22","-0.82%","0"
"23","↑7","1","30","その他製品","-0.20","-0.22%","0"
"24","↓1","0","23","食料品","-0.55","-1.13%","0"
"25","↓21","0","4","サービス業","-0.55","-2.39%","0"
"26","↓2","0","24","精密機器","-0.61","-1.15%","0"
"27","↓2","0","25","医薬品","-0.66","-1.09%","0"
"28","↓7","0","21","水産・農林業","-0.76","-1.50%","0"
"29","↓20","0","9","金属製品","-0.82","-2.53%","0"
"30","↓8","0","22","空運業","-0.96","-1.66%","0"
"31","↓3","0","28","小売業","-1.17","-1.42%","0"
"32","↓25","0","7","情報・通信業","-1.42","-3.17%","0"
"33","↓32","0","1","鉱業","-1.66","-5.63%","0"
