順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑22","1","23","輸送用機器","+3.95","+6.82%","1"
"2","↑10","1","12","電気・ガス","+3.16","+4.59%","1"
"3","↓2","0","1","医薬品","+2.87","+2.09%","1"
"4","↓1","0","3","不動産業","+2.33","+2.44%","2"
"5","↑10","3","15","ゴム製品","+2.29","+4.56%","1"
"6","↑27","1","33","非鉄金属","+2.29","+10.62%","1"
"7","↑14","2","21","建設業","+2.25","+5.07%","1"
"8","↑2","2","10","サービス業","+2.10","+3.27%","1"
"9","↑9","1","18","証券・商品","+2.02","+4.47%","1"
"10","↑17","1","27","情報・通信業","+2.01","+5.26%","1"
"11","↑3","3","14","その他製品","+1.93","+3.54%","1"
"12","↑10","1","22","石油・石炭","+1.73","+4.60%","1"
"13","↑11","2","24","化学","+1.65","+4.53%","1"
"14","↑12","1","26","繊維製品","+1.45","+4.68%","1"
"15","↑17","1","32","ガラス・土石","+1.36","+6.76%","1"
"16","↓10","0","6","小売業","+1.34","+1.88%","1"
"17","↑3","1","20","卸売業","+1.10","+3.69%","1"
"18","↑7","1","25","精密機器","+1.07","+3.97%","1"
"19","↓11","0","8","陸運業","+0.99","+1.58%","1"
"20","↓7","0","13","パルプ・紙","+0.98","+2.53%","1"
"21","↑10","1","31","機械","+0.98","+6.08%","1"
"22","↓18","0","4","水産・農林業","+0.93","+1.18%","1"
"23","↓16","0","7","食料品","+0.73","+1.31%","2"
"24","↑5","2","29","電気機器","+0.68","+4.65%","1"
"25","↑3","2","28","金属製品","+0.58","+4.25%","1"
"26","↓15","0","11","鉱業","+0.53","+1.84%","1"
"27","↓11","0","16","その他金融業","+0.47","+2.83%","1"
"28","↓26","0","2","海運業","+0.43","+0.20%","1"
"29","↓24","0","5","空運業","+0.41","+0.85%","2"
"30","↓21","0","9","倉庫・運輸","-0.10","+0.55%","1"
"31","↓14","0","17","保険業","-0.29","+2.14%","1"
"32","↓2","0","30","銀行業","-0.53","+4.11%","1"
"33","↓14","0","19","鉄鋼","-0.64","+1.83%","1"
