順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑32","1","33","石油・石炭","+4.62","+6.86%","1"
"2","↑23","1","25","鉱業","+3.15","+4.19%","1"
"3","↑8","2","11","繊維製品","+2.02","+2.20%","1"
"4","↑23","1","27","海運業","+1.92","+3.16%","1"
"5","↑21","2","26","非鉄金属","+1.85","+2.90%","4"
"6","↑3","3","9","化学","+1.81","+1.83%","1"
"7","↑8","3","15","電気機器","+1.61","+2.07%","1"
"8","↓4","0","4","ガラス・土石","+1.39","+0.89%","4"
"9","↑15","1","24","建設業","+1.23","+2.14%","1"
"10","↑7","2","17","鉄鋼","+1.14","+1.65%","1"
"11","↓4","0","7","金属製品","+1.10","+0.86%","3"
"12","↑11","1","23","電気・ガス","+1.02","+1.90%","1"
"13","↓1","0","12","倉庫・運輸","+0.86","+1.10%","1"
"14","↑15","1","29","卸売業","+0.83","+2.27%","1"
"15","↓12","0","3","サービス業","+0.81","+0.07%","1"
"16","↑2","4","18","機械","+0.80","+1.37%","1"
"17","↑4","1","21","その他金融業","+0.78","+1.48%","1"
"18","↑10","1","28","不動産業","+0.76","+2.18%","1"
"19","↓14","0","5","パルプ・紙","+0.67","+0.32%","1"
"20","↓7","0","13","精密機器","+0.45","+0.76%","1"
"21","↑9","1","30","保険業","+0.31","+1.79%","1"
"22","↓12","0","10","輸送用機器","+0.18","+0.35%","1"
"23","↓4","0","19","水産・農林業","+0.05","+0.68%","1"
"24","↓10","0","14","食料品","-0.08","+0.25%","1"
"25","↑7","1","32","銀行業","-0.11","+1.74%","1"
"26","↓6","0","20","陸運業","-0.27","+0.41%","1"
"27","↓19","0","8","ゴム製品","-0.31","-0.34%","0"
"28","↓6","0","22","その他製品","-0.36","+0.48%","1"
"29","↓13","0","16","小売業","-0.56","-0.08%","0"
"30","↑1","1","31","証券・商品","-0.61","+0.99%","1"
"31","↓25","0","6","空運業","-0.70","-1.01%","0"
"32","↓31","0","1","情報・通信業","-0.80","-2.87%","0"
"33","↓31","0","2","医薬品","-0.90","-2.02%","0"
