順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑6","1","7","非鉄金属","+1.54","+0.73%","1"
"2","↑30","1","32","石油・石炭","+1.13","+2.97%","1"
"3","↑25","2","28","繊維製品","+0.77","+1.28%","1"
"4","→","0","4","銀行業","+0.68","-0.73%","0"
"5","↓4","0","1","証券・商品","+0.63","-1.42%","0"
"6","↑24","1","30","鉱業","+0.62","+1.46%","1"
"7","↑7","1","14","電気機器","+0.62","+0.20%","1"
"8","↑11","2","19","化学","+0.58","+0.59%","1"
"9","↑14","1","23","機械","+0.43","+0.62%","1"
"10","↑6","2","16","建設業","+0.35","+0.05%","2"
"11","↑18","1","29","陸運業","+0.22","+0.85%","1"
"12","↓2","0","10","パルプ・紙","+0.20","-0.54%","0"
"13","↑7","1","20","ガラス・土石","+0.18","+0.22%","1"
"14","↑1","2","15","倉庫・運輸","+0.11","-0.25%","0"
"15","↑16","1","31","金属製品","+0.09","+0.97%","1"
"16","↓10","0","6","その他金融業","-0.05","-0.88%","0"
"17","↑7","2","24","卸売業","-0.06","+0.22%","1"
"18","↓5","0","13","情報・通信業","-0.16","-0.60%","0"
"19","↑6","2","25","輸送用機器","-0.17","+0.15%","2"
"20","↓3","0","17","ゴム製品","-0.18","-0.26%","0"
"21","↓3","0","18","水産・農林業","-0.23","-0.25%","0"
"22","↓19","0","3","保険業","-0.24","-1.92%","0"
"23","↓15","0","8","空運業","-0.25","-1.03%","0"
"24","↓13","0","11","不動産業","-0.34","-1.08%","0"
"25","↑2","1","27","食料品","-0.37","+0.03%","1"
"26","↓17","0","9","電気・ガス","-0.50","-1.26%","0"
"27","↓25","0","2","サービス業","-0.51","-2.36%","0"
"28","↓6","0","22","小売業","-0.59","-0.46%","0"
"29","↓17","0","12","鉄鋼","-0.60","-1.21%","0"
"30","↑3","1","33","海運業","-0.66","+1.71%","1"
"31","↓26","0","5","医薬品","-0.72","-1.76%","0"
"32","↓6","0","26","精密機器","-0.97","-0.59%","0"
"33","↓12","0","21","その他製品","-1.30","-1.24%","0"
