順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑29","1","30","医薬品","+1.76","+2.46%","1"
"2","↓1","0","1","鉱業","+1.51","-0.68%","0"
"3","↑12","1","15","保険業","+1.33","+1.02%","1"
"4","↑13","1","17","海運業","+1.31","+1.02%","1"
"5","↑23","2","28","陸運業","+1.15","+1.79%","2"
"6","↑26","1","32","食料品","+0.75","+1.89%","1"
"7","↑1","2","8","鉄鋼","+0.60","-0.43%","0"
"8","↑8","2","16","電気・ガス","+0.60","+0.30%","2"
"9","↑16","2","25","倉庫・運輸","+0.47","+0.63%","2"
"10","↑21","1","31","小売業","+0.33","+1.44%","2"
"11","↑15","1","26","水産・農林業","+0.23","+0.64%","1"
"12","↓10","0","2","銀行業","-0.09","-1.90%","0"
"13","↑5","1","18","建設業","-0.23","-0.48%","0"
"14","↓5","0","9","卸売業","-0.47","-1.41%","0"
"15","↑18","1","33","不動産業","-0.49","+1.06%","1"
"16","↑8","2","24","サービス業","-0.53","-0.40%","0"
"17","↓7","0","10","その他製品","-0.66","-1.45%","0"
"18","↑11","1","29","精密機器","-0.73","-0.05%","0"
"19","↓12","0","7","石油・石炭","-0.78","-1.87%","0"
"20","↓7","0","13","その他金融業","-1.03","-1.51%","0"
"21","↓2","0","19","繊維製品","-1.26","-1.37%","0"
"22","↓18","0","4","証券・商品","-1.41","-2.77%","0"
"23","→","0","23","金属製品","-1.42","-1.40%","0"
"24","↓19","0","5","パルプ・紙","-1.50","-2.83%","0"
"25","↓13","0","12","情報・通信業","-1.60","-2.14%","0"
"26","↑1","2","27","空運業","-1.75","-1.28%","0"
"27","↓13","0","14","輸送用機器","-1.76","-2.09%","0"
"28","↓6","0","22","ゴム製品","-1.79","-1.78%","0"
"29","↓23","0","6","機械","-1.80","-3.11%","0"
"30","↓10","0","20","ガラス・土石","-1.94","-2.03%","0"
"31","↓10","0","21","化学","-2.14","-2.20%","0"
"32","↓21","0","11","電気機器","-2.77","-3.34%","0"
"33","↓30","0","3","非鉄金属","-3.20","-4.88%","0"
