順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑2","3","3","非鉄金属","+3.12","-0.15%","0"
"2","↑28","1","30","銀行業","+2.87","+4.76%","1"
"3","↑1","2","4","鉱業","+2.77","-0.30%","0"
"4","↓3","0","1","サービス業","+1.55","-7.83%","0"
"5","↑11","3","16","金属製品","+1.38","+0.94%","3"
"6","↑1","3","7","電気機器","+1.36","-0.34%","0"
"7","↑17","1","24","電気・ガス","+1.29","+1.85%","1"
"8","↑3","2","11","化学","+1.18","+0.31%","2"
"9","↑17","2","26","証券・商品","+1.09","+1.75%","2"
"10","↑18","2","28","その他金融業","+0.94","+2.04%","2"
"11","↑22","1","33","石油・石炭","+0.93","+5.71%","1"
"12","↑6","2","18","水産・農林業","+0.75","+0.70%","2"
"13","→","0","13","ガラス・土石","+0.73","-0.02%","0"
"14","↑15","2","29","建設業","+0.69","+1.84%","2"
"15","↑17","1","32","保険業","+0.56","+3.04%","1"
"16","↑1","1","17","食料品","+0.55","+0.47%","1"
"17","↓3","0","14","機械","+0.49","-0.11%","0"
"18","↑7","1","25","情報・通信業","+0.46","+1.03%","1"
"19","↓14","0","5","その他製品","+0.39","-1.79%","0"
"20","→","0","20","陸運業","+0.38","+0.44%","1"
"21","↑1","1","22","倉庫・運輸","+0.07","+0.59%","1"
"22","↓7","0","15","輸送用機器","0.00%","-0.52%","0"
"23","↓21","0","2","精密機器","-0.05","-4.42%","0"
"24","↓3","0","21","卸売業","-0.19","+0.07%","1"
"25","↑6","1","31","不動産業","-0.19","+1.80%","1"
"26","↑1","1","27","鉄鋼","-0.21","+0.87%","1"
"27","↓19","0","8","医薬品","-0.32","-1.44%","0"
"28","↓9","0","19","パルプ・紙","-0.60","-0.54%","0"
"29","↓20","0","9","繊維製品","-0.65","-1.72%","0"
"30","↓18","0","12","小売業","-0.65","-1.46%","0"
"31","↓8","0","23","空運業","-0.74","-0.19%","0"
"32","↓22","0","10","海運業","-0.91","-1.92%","0"
"33","↓27","0","6","ゴム製品","-1.25","-2.97%","0"
