順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑25","3","26","空運業","+4.79","+6.54%","1"
"2","↑15","1","17","その他製品","+4.49","+5.15%","1"
"3","↑25","1","28","ゴム製品","+3.58","+5.37%","1"
"4","↑12","3","16","サービス業","+3.38","+3.91%","1"
"5","↑2","3","7","鉄鋼","+3.02","+2.42%","1"
"6","↑17","1","23","金属製品","+2.85","+4.27%","1"
"7","↑20","1","27","輸送用機器","+2.75","+4.51%","1"
"8","↑7","2","15","不動産業","+2.68","+3.17%","2"
"9","↓4","0","5","陸運業","+2.59","+1.44%","3"
"10","↑14","1","24","パルプ・紙","+2.43","+3.93%","1"
"11","↑10","1","21","繊維製品","+2.30","+3.56%","1"
"12","↑1","2","13","建設業","+2.14","+2.37%","1"
"13","↑7","1","20","その他金融業","+2.13","+3.16%","1"
"14","↓4","0","10","小売業","+2.12","+1.79%","3"
"15","↓12","0","3","保険業","+2.07","+0.74%","2"
"16","↑2","2","18","精密機器","+2.04","+2.77%","1"
"17","↓13","0","4","海運業","+1.73","+0.42%","2"
"18","↓10","0","8","電気・ガス","+1.71","+1.11%","3"
"19","↓8","0","11","水産・農林業","+1.60","+1.37%","2"
"20","↓11","0","9","倉庫・運輸","+1.36","+0.89%","3"
"21","↑4","1","25","情報・通信業","+1.30","+2.90%","1"
"22","↓16","0","6","食料品","+1.28","+0.53%","2"
"23","↑9","1","32","電気機器","+1.26","+4.03%","1"
"24","↑5","1","29","機械","+1.20","+3.00%","1"
"25","↓13","0","12","銀行業","+0.92","+1.01%","1"
"26","↓4","0","22","証券・商品","+0.80","+2.21%","1"
"27","↓13","0","14","卸売業","+0.63","+1.10%","1"
"28","↑2","1","30","ガラス・土石","+0.60","+2.54%","1"
"29","↓28","0","1","医薬品","+0.41","-1.35%","0"
"30","↓11","0","19","石油・石炭","-0.08","+0.70%","1"
"31","→","0","31","化学","-0.34","+1.80%","1"
"32","↓30","0","2","鉱業","-2.54","-4.05%","0"
"33","→","0","33","非鉄金属","-2.81","+0.39%","1"
