順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑9","1","10","鉱業","+2.19","+1.37%","1"
"2","→","0","2","銀行業","+1.81","-0.46%","0"
"3","↓2","0","1","非鉄金属","+1.68","-2.36%","0"
"4","↑5","1","9","証券・商品","+1.36","+0.53%","1"
"5","↑13","1","18","パルプ・紙","+1.33","+1.43%","1"
"6","↑2","2","8","機械","+1.31","+0.13%","1"
"7","↓2","0","5","石油・石炭","+1.09","-0.42%","0"
"8","↑11","1","19","鉄鋼","+1.03","+1.18%","1"
"9","↓6","0","3","卸売業","+0.94","-1.13%","0"
"10","↑10","2","20","その他製品","+0.79","+1.00%","2"
"11","↓5","0","6","電気機器","+0.57","-0.82%","0"
"12","↑13","1","25","情報・通信業","+0.54","+1.08%","1"
"13","→","0","13","その他金融業","+0.48","+0.06%","1"
"14","↑2","4","16","輸送用機器","+0.33","+0.15%","1"
"15","↓4","0","11","保険業","+0.31","-0.44%","0"
"16","↑1","1","17","電気・ガス","+0.30","+0.29%","1"
"17","↓10","0","7","海運業","+0.29","-0.93%","0"
"18","↓3","0","15","建設業","+0.25","+0.07%","1"
"19","↓7","0","12","繊維製品","+0.11","-0.62%","0"
"20","↓16","0","4","ガラス・土石","+0.09","-1.82%","0"
"21","↓7","0","14","化学","+0.06","-0.32%","0"
"22","↑5","1","27","ゴム製品","-0.01","+0.86%","1"
"23","↓1","0","22","金属製品","-0.02","+0.26%","3"
"24","↑9","1","33","サービス業","-0.13","+2.14%","1"
"25","↑3","1","28","倉庫・運輸","-0.16","+0.93%","1"
"26","↓2","0","24","水産・農林業","-0.41","-0.07%","0"
"27","↑5","1","32","空運業","-0.47","+1.21%","1"
"28","↑2","1","30","陸運業","-0.64","+0.61%","1"
"29","→","0","29","精密機器","-0.68","+0.46%","1"
"30","↓7","0","23","医薬品","-0.70","-0.37%","0"
"31","→","0","31","小売業","-1.11","+0.42%","1"
"32","↓11","0","21","食料品","-1.14","-0.88%","0"
"33","↓7","0","26","不動産業","-1.55","-0.89%","0"
