順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑32","1","33","証券・商品","+2.45","+4.76%","1"
"2","↑30","1","32","サービス業","+2.14","+4.00%","1"
"3","↑25","1","28","銀行業","+1.95","+3.67%","1"
"4","↑26","1","30","保険業","+1.20","+3.03%","1"
"5","↑9","2","14","鉄鋼","+0.94","+0.65%","2"
"6","↑15","2","21","その他金融業","+0.87","+1.28%","2"
"7","↑11","2","18","電気機器","+0.76","+0.85%","2"
"8","↑2","1","10","情報・通信業","+0.69","+0.11%","1"
"9","↓7","0","2","石油・石炭","+0.57","-4.44%","0"
"10","↑2","2","12","輸送用機器","+0.44","+0.09%","2"
"11","↑9","2","20","ゴム製品","+0.42","+0.83%","2"
"12","↑11","1","23","空運業","+0.25","+1.13%","1"
"13","↑12","1","25","水産・農林業","+0.24","+1.26%","1"
"14","↓3","0","11","繊維製品","+0.15","-0.39%","0"
"15","↓6","0","9","化学","+0.12","-0.55%","0"
"16","↑1","1","17","パルプ・紙","+0.03","+0.08%","2"
"17","↓1","0","16","陸運業","-0.14","-0.24%","0"
"18","↑1","1","19","倉庫・運輸","-0.20","-0.03%","0"
"19","↑3","1","22","食料品","-0.25","+0.54%","1"
"20","↑9","1","29","医薬品","-0.27","+1.49%","1"
"21","↑3","2","24","精密機器","-0.49","+0.50%","2"
"22","↑4","1","26","海運業","-0.57","+0.76%","1"
"23","↑8","1","31","小売業","-0.69","+1.16%","1"
"24","↓20","0","4","電気・ガス","-0.77","-2.75%","0"
"25","↓10","0","15","金属製品","-0.87","-1.10%","0"
"26","↓23","0","3","鉱業","-0.99","-3.16%","0"
"27","↓19","0","8","卸売業","-1.03","-2.08%","0"
"28","↓15","0","13","不動産業","-1.13","-1.44%","0"
"29","↓24","0","5","ガラス・土石","-1.28","-3.09%","0"
"30","↓24","0","6","機械","-1.32","-2.97%","0"
"31","↓24","0","7","建設業","-2.33","-3.57%","0"
"32","↓5","0","27","その他製品","-2.81","-1.35%","0"
"33","↓32","0","1","非鉄金属","-3.63","-10.51%","0"
