順位,順位変動,順位連騰日数,前日順位,業種名,前日比率,前日比率差,前日比率連騰日数
"1","↑12","1","13","非鉄金属","+5.32","+5.99%","1"
"2","↑4","1","6","機械","+3.25","+3.35%","1"
"3","↓2","0","1","精密機器","+1.91","+0.78%","1"
"4","↑5","2","9","海運業","+1.63","+2.15%","1"
"5","↑18","1","23","電気機器","+1.15","+2.61%","1"
"6","↑1","2","7","化学","+1.02","+1.38%","1"
"7","↑17","1","24","ガラス・土石","+0.85","+2.41%","1"
"8","↓5","0","3","金属製品","+0.79","+0.40%","1"
"9","↑10","1","19","繊維製品","+0.74","+1.82%","1"
"10","↑15","1","25","建設業","+0.53","+2.41%","1"
"11","↑6","2","17","その他製品","-0.01","+1.02%","2"
"12","↑2","2","14","鉄鋼","-0.07","+0.74%","3"
"13","↑5","1","18","証券・商品","-0.09","+0.95%","1"
"14","↑14","1","28","倉庫・運輸","-0.38","+2.22%","1"
"15","↑5","1","20","その他金融業","-0.39","+0.93%","1"
"16","↑10","1","26","ゴム製品","-0.48","+1.44%","1"
"17","↑16","1","33","不動産業","-0.50","+3.08%","1"
"18","↓7","0","11","パルプ・紙","-0.54","+0.04%","2"
"19","↑10","1","29","鉱業","-0.60","+2.09%","1"
"20","↓4","0","16","医薬品","-0.72","+0.10%","2"
"21","↑11","1","32","輸送用機器","-0.72","+2.61%","1"
"22","↓1","0","21","サービス業","-0.79","+0.53%","2"
"23","↓21","0","2","空運業","-0.83","-1.61%","0"
"24","↓14","0","10","卸売業","-0.84","-0.28%","0"
"25","↑5","1","30","石油・石炭","-1.06","+1.68%","1"
"26","↓18","0","8","電気・ガス","-1.18","-0.80%","0"
"27","↓22","0","5","小売業","-1.20","-1.22%","0"
"28","↓13","0","15","銀行業","-1.20","-0.39%","0"
"29","↓2","0","27","保険業","-1.45","+1.04%","1"
"30","↓8","0","22","食料品","-1.48","-0.14%","0"
"31","↓27","0","4","情報・通信業","-1.59","-1.93%","0"
"32","↓20","0","12","水産・農林業","-1.69","-1.08%","0"
"33","↓2","0","31","陸運業","-1.71","+1.09%","2"
